,name,neg,neu,pos,compound
0,clean_article0,0.0,0.816,0.184,0.717
1,clean_article1,0.015,0.928,0.057,0.8625
2,clean_article10,0.109,0.851,0.04,-0.993
3,clean_article11,0.026,0.907,0.067,0.8041
4,clean_article12,0.092,0.835,0.073,-0.9268
5,clean_article13,0.0,0.915,0.085,0.9863
6,clean_article14,0.066,0.817,0.117,0.9013
7,clean_article15,0.02,0.827,0.153,0.9982
8,clean_article16,0.008,0.826,0.166,0.9987
9,clean_article2,0.04,0.849,0.111,0.9958
10,clean_article3,0.04,0.884,0.076,0.9876
11,clean_article4,0.024,0.872,0.105,0.9936
12,clean_article5,0.038,0.885,0.077,0.9184
13,clean_article6,0.038,0.869,0.093,0.9951
14,clean_article7,0.011,0.875,0.113,0.9565
15,clean_article8,0.103,0.84,0.057,-0.9971
16,clean_article9,0.022,0.891,0.087,0.9607
