,name,neg,neu,pos,compound
0,clean_article0,0.044,0.843,0.113,0.9978
1,clean_article1,0.021,0.894,0.085,0.923
2,clean_article10,0.076,0.854,0.07,-0.771
3,clean_article11,0.055,0.846,0.099,0.9734
4,clean_article12,0.0,0.816,0.184,0.717
5,clean_article13,0.037,0.716,0.248,0.9999
6,clean_article2,0.0,0.897,0.103,0.34
7,clean_article3,0.067,0.853,0.081,0.9081
8,clean_article4,0.018,0.858,0.124,0.9952
9,clean_article5,0.019,0.885,0.095,0.9944
10,clean_article6,0.026,0.907,0.067,0.9469
11,clean_article7,0.007,0.886,0.108,0.9839
12,clean_article8,0.0,0.855,0.145,0.5563
13,clean_article9,0.017,0.831,0.151,0.9337
