,name,neg,neu,pos,compound
0,clean_article0,0.079,0.82,0.101,0.8225
1,clean_article1,0.0,0.816,0.184,0.717
2,clean_article10,0.0,0.641,0.359,0.8122
3,clean_article11,0.037,0.867,0.096,0.9901
4,clean_article12,0.061,0.875,0.064,0.2967
5,clean_article13,0.038,0.873,0.088,0.9915
6,clean_article14,0.044,0.919,0.037,-0.7269
7,clean_article15,0.027,0.843,0.13,0.9946
8,clean_article16,0.0,0.816,0.184,0.717
9,clean_article17,0.025,0.866,0.109,0.9936
10,clean_article18,0.04,0.88,0.08,0.8281
11,clean_article19,0.014,0.928,0.058,0.8794
12,clean_article2,0.063,0.831,0.106,0.7351
13,clean_article20,0.0,0.83,0.17,0.9978
14,clean_article21,0.054,0.828,0.118,0.9695
15,clean_article22,0.049,0.858,0.093,0.957
16,clean_article23,0.042,0.848,0.11,0.9551
17,clean_article24,0.06,0.869,0.072,0.834
18,clean_article25,0.027,0.906,0.067,0.9897
19,clean_article26,0.017,0.914,0.069,0.9693
20,clean_article27,0.006,0.88,0.113,0.994
21,clean_article28,0.0,0.841,0.159,0.9973
22,clean_article29,0.045,0.845,0.11,0.9552
23,clean_article3,0.05,0.863,0.087,0.9818
24,clean_article30,0.042,0.809,0.15,0.989
25,clean_article31,0.023,0.84,0.137,0.9609
26,clean_article32,0.085,0.807,0.108,0.7685
27,clean_article33,0.026,0.825,0.148,0.9974
28,clean_article34,0.06,0.904,0.036,-0.7003
29,clean_article35,0.0,0.953,0.047,0.8658
30,clean_article36,0.015,0.799,0.186,0.9994
31,clean_article37,0.055,0.895,0.051,0.1027
32,clean_article38,0.027,0.826,0.147,0.9926
33,clean_article39,0.0,0.932,0.068,0.6124
34,clean_article4,0.041,0.848,0.111,0.9877
35,clean_article40,0.038,0.846,0.115,0.9986
36,clean_article41,0.071,0.753,0.176,0.9975
37,clean_article42,0.081,0.869,0.05,-0.8689
38,clean_article43,0.075,0.87,0.055,-0.7785
39,clean_article44,0.035,0.865,0.1,0.986
40,clean_article45,0.018,0.905,0.077,0.981
41,clean_article46,0.0,0.905,0.095,0.9957
42,clean_article47,0.048,0.843,0.109,0.9917
43,clean_article48,0.063,0.819,0.118,0.9988
44,clean_article49,0.058,0.826,0.115,0.9993
45,clean_article5,0.055,0.87,0.075,0.7872
46,clean_article50,0.056,0.849,0.095,0.9863
47,clean_article51,0.022,0.901,0.077,0.9761
48,clean_article52,0.043,0.825,0.132,0.998
49,clean_article53,0.035,0.832,0.133,0.879
50,clean_article54,0.029,0.934,0.038,0.4767
51,clean_article55,0.008,0.818,0.174,0.9753
52,clean_article56,0.087,0.832,0.081,-0.9719
53,clean_article57,0.0,0.936,0.064,0.9001
54,clean_article58,0.076,0.858,0.066,-0.2462
55,clean_article59,0.048,0.86,0.092,0.9935
56,clean_article6,0.0,0.968,0.032,0.1779
57,clean_article60,0.004,0.841,0.155,0.9972
58,clean_article61,0.025,0.927,0.048,0.765
59,clean_article62,0.032,0.924,0.044,0.5774
60,clean_article63,0.192,0.746,0.062,-0.9451
61,clean_article64,0.019,0.826,0.154,0.998
62,clean_article65,0.007,0.924,0.069,0.8583
63,clean_article66,0.008,0.859,0.134,0.9947
64,clean_article67,0.041,0.803,0.155,0.9955
65,clean_article68,0.076,0.894,0.03,-0.7803
66,clean_article69,0.015,0.805,0.18,0.9991
67,clean_article7,0.0,0.968,0.032,0.1779
68,clean_article70,0.038,0.836,0.125,0.9981
69,clean_article71,0.074,0.86,0.066,-0.6238
70,clean_article72,0.015,0.879,0.106,0.9956
71,clean_article73,0.026,0.847,0.127,0.9974
72,clean_article74,0.064,0.829,0.107,0.9893
73,clean_article75,0.079,0.82,0.101,0.9927
74,clean_article76,0.062,0.872,0.065,0.3114
75,clean_article77,0.054,0.786,0.159,0.9955
76,clean_article78,0.045,0.741,0.214,1.0
77,clean_article79,0.189,0.786,0.025,-0.9985
78,clean_article8,0.0,0.816,0.184,0.717
79,clean_article80,0.04,0.879,0.082,0.9608
80,clean_article81,0.008,0.917,0.075,0.9716
81,clean_article82,0.0,0.859,0.141,0.9096
82,clean_article83,0.137,0.863,0.0,-0.6597
83,clean_article84,0.019,0.868,0.114,0.9975
84,clean_article85,0.107,0.77,0.123,0.9314
85,clean_article86,0.057,0.901,0.043,-0.8424
86,clean_article87,0.0,0.87,0.13,0.9686
87,clean_article88,0.004,0.78,0.216,0.9991
88,clean_article89,0.057,0.816,0.127,0.9775
89,clean_article9,0.004,0.863,0.132,0.9966
90,clean_article90,0.0,0.934,0.066,0.7096
91,clean_article91,0.017,0.846,0.137,0.9953
92,clean_article92,0.041,0.759,0.2,0.9991
93,clean_article93,0.062,0.843,0.094,0.948
94,clean_article94,0.098,0.858,0.044,-0.9862
95,clean_article95,0.083,0.89,0.026,-0.9531
