,name,neg,neu,pos,compound
0,clean_article0,0.02,0.933,0.047,0.4927
1,clean_article1,0.103,0.764,0.133,0.296
2,clean_article10,0.028,0.9,0.072,0.955
3,clean_article11,0.052,0.877,0.072,0.7096
4,clean_article12,0.026,0.906,0.067,0.9788
5,clean_article13,0.004,0.882,0.114,0.9861
6,clean_article14,0.031,0.868,0.101,0.9943
7,clean_article15,0.09,0.836,0.074,-0.9498
8,clean_article16,0.02,0.868,0.112,0.9961
9,clean_article17,0.013,0.956,0.031,0.6358
10,clean_article18,0.014,0.833,0.153,0.9992
11,clean_article19,0.087,0.832,0.081,-0.8578
12,clean_article2,0.023,0.888,0.088,0.9934
13,clean_article3,0.046,0.832,0.122,0.9976
14,clean_article4,0.069,0.852,0.079,0.6051
15,clean_article5,0.023,0.921,0.056,0.703
16,clean_article6,0.075,0.834,0.091,0.7725
17,clean_article7,0.059,0.877,0.064,-0.0759
18,clean_article8,0.0,0.968,0.032,0.1779
19,clean_article9,0.06,0.835,0.105,0.9481
