,name,neg,neu,pos,compound
0,clean_article0,0.041,0.881,0.078,0.9186
1,clean_article1,0.0,0.816,0.184,0.717
2,clean_article10,0.003,0.842,0.154,0.997
3,clean_article11,0.027,0.848,0.125,0.997
4,clean_article12,0.019,0.921,0.059,0.9637
5,clean_article13,0.015,0.872,0.113,0.9762
6,clean_article14,0.025,0.899,0.076,0.9844
7,clean_article15,0.016,0.894,0.089,0.8402
8,clean_article16,0.152,0.757,0.091,-0.9986
9,clean_article17,0.054,0.887,0.059,0.3182
10,clean_article18,0.049,0.851,0.099,0.9543
11,clean_article19,0.097,0.849,0.054,-0.9794
12,clean_article2,0.01,0.913,0.077,0.7583
13,clean_article20,0.024,0.928,0.048,0.6705
14,clean_article21,0.023,0.884,0.094,0.9931
15,clean_article22,0.0,0.816,0.184,0.717
16,clean_article3,0.007,0.829,0.164,0.9925
17,clean_article4,0.024,0.88,0.096,0.9312
18,clean_article5,0.012,0.821,0.167,0.9966
19,clean_article6,0.0,0.856,0.144,0.9961
20,clean_article7,0.026,0.842,0.132,0.9978
21,clean_article8,0.027,0.846,0.127,0.9938
22,clean_article9,0.035,0.88,0.085,0.9866
