,name,neg,neu,pos,compound
0,clean_article0,0.013,0.885,0.102,0.9971
1,clean_article1,0.0,0.968,0.032,0.1779
2,clean_article10,0.054,0.886,0.06,0.399
3,clean_article11,0.014,0.857,0.129,0.9994
4,clean_article12,0.021,0.925,0.054,0.6686
5,clean_article13,0.0,0.816,0.184,0.717
6,clean_article14,0.054,0.873,0.073,0.9959
7,clean_article15,0.016,0.875,0.109,0.9961
8,clean_article16,0.017,0.887,0.096,0.9843
9,clean_article17,0.0,0.896,0.104,0.967
10,clean_article18,0.009,0.873,0.117,0.9039
11,clean_article19,0.029,0.914,0.057,0.9763
12,clean_article2,0.0,0.816,0.184,0.717
13,clean_article20,0.0,0.914,0.086,0.9152
14,clean_article21,0.028,0.891,0.081,0.9771
15,clean_article22,0.0,0.641,0.359,0.8122
16,clean_article23,0.014,0.862,0.124,0.9958
17,clean_article24,0.017,0.928,0.055,0.7543
18,clean_article25,0.018,0.909,0.073,0.9231
19,clean_article26,0.055,0.888,0.057,-0.0772
20,clean_article27,0.007,0.862,0.131,0.9962
21,clean_article28,0.096,0.786,0.118,0.9892
22,clean_article29,0.03,0.871,0.099,0.9975
23,clean_article3,0.023,0.91,0.067,0.9969
24,clean_article30,0.023,0.888,0.089,0.9917
25,clean_article31,0.022,0.91,0.068,0.9753
26,clean_article32,0.033,0.88,0.088,0.7574
27,clean_article33,0.047,0.845,0.108,0.9577
28,clean_article34,0.0,0.896,0.104,0.9833
29,clean_article35,0.026,0.832,0.142,0.9545
30,clean_article36,0.048,0.856,0.096,0.8166
31,clean_article37,0.022,0.854,0.123,0.9932
32,clean_article38,0.025,0.857,0.118,0.9968
33,clean_article39,0.0,0.882,0.118,0.9885
34,clean_article4,0.0,0.816,0.184,0.717
35,clean_article40,0.031,0.899,0.07,0.9852
36,clean_article41,0.059,0.86,0.082,0.8241
37,clean_article42,0.0,0.641,0.359,0.8122
38,clean_article43,0.0,0.816,0.184,0.717
39,clean_article44,0.0,0.892,0.108,0.9682
40,clean_article45,0.031,0.833,0.135,0.9994
41,clean_article46,0.014,0.834,0.152,0.982
42,clean_article47,0.0,0.658,0.342,0.6369
43,clean_article48,0.056,0.827,0.118,0.9883
44,clean_article49,0.055,0.842,0.103,0.9726
45,clean_article5,0.0,0.968,0.032,0.1779
46,clean_article50,0.094,0.778,0.128,0.9416
47,clean_article51,0.023,0.872,0.105,0.9501
48,clean_article52,0.116,0.884,0.0,-0.9741
49,clean_article53,0.026,0.913,0.061,0.9353
50,clean_article54,0.021,0.911,0.069,0.9762
51,clean_article55,0.012,0.922,0.066,0.9538
52,clean_article56,0.032,0.859,0.109,0.9913
53,clean_article57,0.032,0.853,0.114,0.9607
54,clean_article58,0.071,0.754,0.175,0.9814
55,clean_article59,0.11,0.823,0.067,-0.9785
56,clean_article6,0.011,0.88,0.109,0.9928
57,clean_article60,0.044,0.852,0.104,0.9601
58,clean_article61,0.006,0.885,0.109,0.9927
59,clean_article62,0.173,0.827,0.0,-0.3182
60,clean_article63,0.014,0.86,0.126,0.9953
61,clean_article64,0.074,0.844,0.082,0.2263
62,clean_article65,0.02,0.921,0.059,0.9802
63,clean_article66,0.076,0.858,0.066,-0.2462
64,clean_article67,0.053,0.873,0.074,0.5256
65,clean_article68,0.095,0.819,0.086,-0.5704
66,clean_article69,0.114,0.826,0.06,-0.9549
67,clean_article7,0.01,0.914,0.076,0.9493
68,clean_article70,0.036,0.894,0.07,0.8591
69,clean_article71,0.041,0.914,0.045,-0.0516
70,clean_article72,0.041,0.782,0.177,0.9783
71,clean_article73,0.034,0.86,0.106,0.9775
72,clean_article74,0.005,0.882,0.113,0.9983
73,clean_article75,0.0,0.92,0.08,0.9062
74,clean_article76,0.079,0.736,0.185,0.8893
75,clean_article77,0.034,0.867,0.099,0.9738
76,clean_article78,0.043,0.925,0.031,-0.3005
77,clean_article79,0.028,0.779,0.193,0.9988
78,clean_article8,0.015,0.887,0.098,0.9655
79,clean_article80,0.017,0.898,0.085,0.9733
80,clean_article81,0.012,0.847,0.141,0.9941
81,clean_article82,0.046,0.844,0.11,0.9826
82,clean_article83,0.015,0.831,0.155,0.9982
83,clean_article84,0.021,0.886,0.093,0.9873
84,clean_article85,0.024,0.852,0.124,0.9962
85,clean_article86,0.005,0.877,0.119,0.9988
86,clean_article87,0.041,0.849,0.11,0.9948
87,clean_article88,0.02,0.818,0.162,0.9983
88,clean_article89,0.029,0.833,0.138,0.9978
89,clean_article9,0.0,0.641,0.359,0.8122
90,clean_article90,0.022,0.884,0.094,0.9963
91,clean_article91,0.006,0.86,0.134,0.9893
