,name,neg,neu,pos,compound
0,clean_article0,0.068,0.846,0.086,0.9396
1,clean_article1,0.025,0.867,0.108,0.9944
2,clean_article10,0.06,0.865,0.075,0.6808
3,clean_article11,0.0,0.816,0.184,0.717
4,clean_article12,0.0,0.955,0.045,0.6059
5,clean_article13,0.012,0.836,0.152,0.9951
6,clean_article14,0.019,0.84,0.142,0.9949
7,clean_article15,0.029,0.825,0.146,0.9992
8,clean_article16,0.021,0.895,0.083,0.9715
9,clean_article17,0.029,0.851,0.12,0.9911
10,clean_article18,0.003,0.841,0.156,0.9973
11,clean_article19,0.0,0.816,0.184,0.717
12,clean_article2,0.025,0.844,0.131,0.9749
13,clean_article20,0.024,0.944,0.032,0.296
14,clean_article21,0.04,0.872,0.088,0.9992
15,clean_article22,0.0,0.816,0.184,0.717
16,clean_article23,0.0,0.923,0.077,0.8402
17,clean_article24,0.05,0.766,0.184,0.6808
18,clean_article25,0.041,0.901,0.057,0.7467
19,clean_article26,0.0,0.968,0.032,0.1779
20,clean_article27,0.0,0.0,0.0,0.0
21,clean_article28,0.025,0.837,0.138,0.9998
22,clean_article29,0.0,0.816,0.184,0.717
23,clean_article3,0.056,0.857,0.087,0.9056
24,clean_article30,0.029,0.88,0.091,0.9742
25,clean_article31,0.0,0.816,0.184,0.717
26,clean_article32,0.022,0.874,0.104,0.9647
27,clean_article33,0.003,0.847,0.15,0.9981
28,clean_article34,0.015,0.757,0.229,0.9981
29,clean_article35,0.093,0.825,0.083,-0.7447
30,clean_article36,0.031,0.881,0.088,0.9916
31,clean_article37,0.029,0.88,0.091,0.944
32,clean_article38,0.009,0.857,0.134,0.9978
33,clean_article39,0.051,0.78,0.17,0.9998
34,clean_article4,0.055,0.811,0.134,0.9986
35,clean_article40,0.007,0.916,0.077,0.9952
36,clean_article41,0.067,0.823,0.11,0.9961
37,clean_article42,0.015,0.922,0.063,0.9091
38,clean_article43,0.016,0.901,0.083,0.9961
39,clean_article44,0.042,0.86,0.098,0.984
40,clean_article45,0.087,0.825,0.088,-0.7475
41,clean_article46,0.014,0.871,0.115,0.9946
42,clean_article47,0.047,0.829,0.124,0.9971
43,clean_article48,0.084,0.806,0.11,0.9881
44,clean_article49,0.108,0.868,0.024,-0.5423
45,clean_article5,0.0,0.968,0.032,0.1779
46,clean_article50,0.046,0.859,0.095,0.9535
47,clean_article51,0.046,0.854,0.1,0.9791
48,clean_article52,0.01,0.89,0.1,0.9883
49,clean_article53,0.023,0.851,0.125,0.9571
50,clean_article54,0.036,0.896,0.068,0.9153
51,clean_article55,0.018,0.785,0.197,0.999
52,clean_article56,0.0,1.0,0.0,0.0
53,clean_article57,0.008,0.824,0.168,0.9871
54,clean_article58,0.018,0.863,0.118,0.9921
55,clean_article59,0.053,0.883,0.063,0.9503
56,clean_article6,0.0,0.0,0.0,0.0
57,clean_article60,0.01,0.916,0.074,0.9688
58,clean_article61,0.076,0.858,0.066,-0.2462
59,clean_article62,0.047,0.821,0.132,0.9977
60,clean_article63,0.058,0.827,0.116,0.7841
61,clean_article64,0.013,0.849,0.138,0.9978
62,clean_article65,0.045,0.866,0.089,0.9696
63,clean_article66,0.086,0.822,0.092,0.7328
64,clean_article67,0.063,0.83,0.107,0.9676
65,clean_article68,0.093,0.774,0.133,0.7269
66,clean_article69,0.002,0.911,0.087,0.9951
67,clean_article7,0.045,0.811,0.144,0.9987
68,clean_article70,0.017,0.881,0.102,0.9873
69,clean_article71,0.122,0.84,0.037,-0.9728
70,clean_article72,0.018,0.927,0.055,0.8625
71,clean_article73,0.024,0.913,0.063,0.9296
72,clean_article74,0.064,0.891,0.045,-0.8727
73,clean_article75,0.038,0.873,0.089,0.9603
74,clean_article76,0.021,0.813,0.166,0.9996
75,clean_article77,0.063,0.867,0.071,0.3182
76,clean_article78,0.003,0.884,0.112,0.9943
77,clean_article79,0.088,0.804,0.109,0.9451
78,clean_article8,0.0,0.816,0.184,0.717
79,clean_article80,0.047,0.895,0.057,-0.09
80,clean_article81,0.052,0.838,0.11,0.9924
81,clean_article82,0.052,0.843,0.105,0.962
82,clean_article83,0.012,0.894,0.094,0.9981
83,clean_article84,0.093,0.803,0.104,0.8966
84,clean_article85,0.024,0.922,0.054,0.9666
85,clean_article86,0.056,0.865,0.079,0.8251
86,clean_article87,0.009,0.921,0.07,0.9982
87,clean_article88,0.035,0.728,0.237,0.9999
88,clean_article89,0.063,0.748,0.188,0.9936
89,clean_article9,0.0,0.896,0.104,0.8481
90,clean_article90,0.016,0.865,0.119,0.987
