,Date,BTC,num_of_articles,neg_average,neu_average,pos_average,compound_average
85,2021-03-27T00:00:00Z,835655.28771709,12,0.03,0.85,0.12,0.79
86,2021-03-28T00:00:00Z,838285.66802795,10,0.06,0.8,0.14,0.65
87,2021-03-29T00:00:00Z,862840.71851159,18,0.02,0.87,0.11,0.84
88,2021-03-30T00:00:00Z,876602.27401311,22,0.03,0.83,0.1,0.72
89,2021-03-31T00:00:00Z,876606.15730332,19,0.03,0.87,0.1,0.78
90,2021-04-01T00:00:00Z,868169.59608898,23,0.03,0.86,0.11,0.73
91,2021-04-02T00:00:00Z,864420.51178954,17,0.02,0.88,0.1,0.72
92,2021-04-03T00:00:00Z,841885.64483495,5,0.02,0.87,0.11,0.99
93,2021-04-04T00:00:00Z,853708.65540498,10,0.03,0.89,0.08,0.76
94,2021-04-05T00:00:00Z,867405.65916412,19,0.03,0.88,0.09,0.68
95,2021-04-06T00:00:00Z,847111.22743759,20,0.03,0.86,0.11,0.72
96,2021-04-07T00:00:00Z,815877.35469590,17,0.04,0.84,0.12,0.58
97,2021-04-08T00:00:00Z,846295.12035257,22,0.03,0.88,0.09,0.74
98,2021-04-09T00:00:00Z,847022.53992197,9,0.04,0.87,0.09,0.66
99,2021-04-10T00:00:00Z,875066.30503562,11,0.03,0.88,0.09,0.8
100,2021-04-11T00:00:00Z,877752.33048489,14,0.03,0.87,0.1,0.91
101,2021-04-12T00:00:00Z,873698.47715597,26,0.03,0.87,0.1,0.77
102,2021-04-13T00:00:00Z,925260.83265748,20,0.02,0.87,0.11,0.82
103,2021-04-14T00:00:00Z,913413.71160169,84,0.03,0.86,0.1,0.71
104,2021-04-15T00:00:00Z,909486.74207623,92,0.03,0.85,0.11,0.67
105,2021-04-16T00:00:00Z,871663.12614258,62,0.04,0.86,0.1,0.73
106,2021-04-17T00:00:00Z,863105.34063562,56,0.04,0.87,0.09,0.61
107,2021-04-18T00:00:00Z,806947.10967704,82,0.04,0.85,0.09,0.63
108,2021-04-19T00:00:00Z,796539.78805483,87,0.04,0.87,0.09,0.6
109,2021-04-20T00:00:00Z,803518.17704653,75,0.04,0.84,0.11,0.66
110,2021-04-21T00:00:00Z,774677.24769561,96,0.03,0.86,0.1,0.7
111,2021-04-22T00:00:00Z,740742.02419651,90,0.04,0.86,0.1,0.55
112,2021-04-23T00:00:00Z,729728.22519297,85,0.04,0.83,0.09,0.57
113,2021-04-24T00:00:00Z,716364.75519351,33,0.04,0.83,0.1,0.64
114,2021-04-25T00:00:00Z,703432.90613550,79,0.04,0.85,0.09,0.58
115,2021-04-26T00:00:00Z,770319.99704606,90,0.04,0.85,0.1,0.64
116,2021-04-27T00:00:00Z,785758.33208366,91,0.03,0.84,0.09,0.58
117,2021-04-28T00:00:00Z,787772.01052400,81,0.04,0.85,0.11,0.68
118,2021-04-29T00:00:00Z,763484.87478641,90,0.03,0.84,0.11,0.69
119,2021-04-30T00:00:00Z,826223.24296610,91,0.04,0.85,0.11,0.69
120,2021-05-01T00:00:00Z,838272.64914470,63,0.04,0.85,0.11,0.75
121,2021-05-02T00:00:00Z,821402.50222023,46,0.05,0.84,0.12,0.68
122,2021-05-03T00:00:00Z,829411.78274341,94,0.04,0.85,0.1,0.72
123,2021-05-04T00:00:00Z,769224.79091320,87,0.04,0.86,0.1,0.73
124,2021-05-05T00:00:00Z,831945.96225587,84,0.03,0.86,0.1,0.7
125,2021-05-06T00:00:00Z,810318.84153559,92,0.03,0.86,0.11,0.76
126,2021-05-07T00:00:00Z,813900.84283392,88,0.04,0.85,0.1,0.66
127,2021-05-08T00:00:00Z,830519.92410649,44,0.04,0.86,0.1,0.6
128,2021-05-09T00:00:00Z,819709.95186250,62,0.04,0.86,0.1,0.65
129,2021-05-10T00:00:00Z,789239.48475611,94,0.03,0.86,0.1,0.67
130,2021-05-11T00:00:00Z,796639.20918077,56,0.04,0.86,0.1,0.71
131,2021-05-12T00:00:00Z,701416.24737598,91,0.03,0.84,0.11,0.75
