,name,neg,neu,pos,compound
0,clean_article0,0.041,0.799,0.16,0.9661
1,clean_article1,0.0,0.641,0.359,0.8122
2,clean_article10,0.0,0.816,0.184,0.717
3,clean_article11,0.094,0.833,0.073,-0.1531
4,clean_article12,0.061,0.845,0.094,0.9875
5,clean_article13,0.0,0.968,0.032,0.1779
6,clean_article14,0.004,0.89,0.106,0.9852
7,clean_article15,0.0,0.816,0.184,0.717
8,clean_article16,0.05,0.844,0.106,0.9873
9,clean_article17,0.029,0.893,0.078,0.9886
10,clean_article18,0.0,0.914,0.086,0.9558
11,clean_article19,0.03,0.937,0.033,-0.1779
12,clean_article2,0.0,0.641,0.359,0.8122
13,clean_article20,0.066,0.787,0.147,0.9973
14,clean_article21,0.014,0.908,0.078,0.9886
15,clean_article22,0.004,0.83,0.166,0.9962
16,clean_article23,0.036,0.861,0.104,0.9916
17,clean_article24,0.051,0.882,0.068,0.5145
18,clean_article25,0.019,0.914,0.067,0.8481
19,clean_article26,0.048,0.913,0.04,-0.0083
20,clean_article27,0.138,0.791,0.071,-0.9657
21,clean_article3,0.057,0.829,0.114,0.9982
22,clean_article4,0.006,0.901,0.093,0.9947
23,clean_article5,0.0,0.816,0.184,0.717
24,clean_article6,0.01,0.911,0.079,0.9021
25,clean_article7,0.026,0.914,0.06,0.4215
26,clean_article8,0.0,0.641,0.359,0.8122
27,clean_article9,0.0,0.855,0.145,0.5563
