,name,neg,neu,pos,compound
0,clean_article0,0.0,0.816,0.184,0.717
1,clean_article1,0.04,0.829,0.132,0.9996
2,clean_article10,0.0,0.641,0.359,0.8122
3,clean_article11,0.021,0.958,0.021,-0.0258
4,clean_article12,0.011,0.893,0.096,0.9976
5,clean_article13,0.026,0.868,0.105,0.9964
6,clean_article14,0.03,0.879,0.092,0.9468
7,clean_article15,0.017,0.834,0.149,0.9996
8,clean_article16,0.005,0.959,0.036,0.9056
9,clean_article2,0.064,0.881,0.055,-0.6249
10,clean_article3,0.0,0.886,0.114,0.8759
11,clean_article4,0.0,0.884,0.116,0.8462
12,clean_article5,0.04,0.796,0.163,0.9987
13,clean_article6,0.008,0.807,0.185,0.9993
14,clean_article7,0.0,0.816,0.184,0.717
15,clean_article8,0.06,0.864,0.076,0.1604
16,clean_article9,0.025,0.849,0.126,0.9856
