,name,neg,neu,pos,compound
0,clean_article0,0.05,0.903,0.047,-0.2831
1,clean_article1,0.049,0.871,0.08,0.7966
2,clean_article10,0.081,0.816,0.103,0.9451
3,clean_article11,0.066,0.797,0.138,0.9994
4,clean_article12,0.003,0.83,0.168,0.9976
5,clean_article13,0.03,0.828,0.142,0.998
6,clean_article14,0.017,0.941,0.042,0.6908
7,clean_article2,0.036,0.878,0.087,0.9645
8,clean_article3,0.015,0.931,0.054,0.8658
9,clean_article4,0.025,0.869,0.107,0.9878
10,clean_article5,0.03,0.887,0.083,0.8935
11,clean_article6,0.113,0.791,0.096,-0.7414
12,clean_article7,0.019,0.876,0.105,0.9919
13,clean_article8,0.055,0.845,0.1,0.9515
14,clean_article9,0.068,0.826,0.107,0.9919
