,name,neg,neu,pos,compound
0,clean_article0,0.035,0.824,0.141,0.9807
1,clean_article1,0.0,0.968,0.032,0.1779
2,clean_article10,0.087,0.841,0.072,-0.9477
3,clean_article11,0.041,0.897,0.062,0.9052
4,clean_article12,0.027,0.784,0.188,0.9989
5,clean_article2,0.0,0.816,0.184,0.717
6,clean_article3,0.0,0.816,0.184,0.717
7,clean_article4,0.04,0.909,0.051,0.1263
8,clean_article5,0.0,0.945,0.055,0.8957
9,clean_article6,0.055,0.821,0.124,0.9974
10,clean_article7,0.043,0.908,0.05,0.6005
11,clean_article8,0.064,0.86,0.076,0.8418
12,clean_article9,0.042,0.881,0.077,0.9362
