,name,neg,neu,pos,compound
0,clean_article0,0.018,0.909,0.074,0.992
1,clean_article1,0.026,0.864,0.11,0.9803
2,clean_article10,0.0,0.966,0.034,0.639
3,clean_article11,0.011,0.786,0.204,0.9995
4,clean_article12,0.014,0.89,0.097,0.9946
5,clean_article13,0.009,0.861,0.13,0.9796
6,clean_article14,0.013,0.88,0.107,0.9904
7,clean_article15,0.028,0.893,0.079,0.9844
8,clean_article16,0.057,0.802,0.141,0.9971
9,clean_article17,0.024,0.912,0.064,0.9234
10,clean_article18,0.097,0.824,0.079,-0.9543
11,clean_article19,0.054,0.856,0.09,0.743
12,clean_article2,0.022,0.891,0.087,0.9949
13,clean_article20,0.04,0.882,0.079,0.9939
14,clean_article21,0.074,0.851,0.075,-0.0883
15,clean_article22,0.049,0.904,0.047,-0.3446
16,clean_article3,0.017,0.931,0.052,0.8572
17,clean_article4,0.049,0.802,0.148,0.9962
18,clean_article5,0.025,0.809,0.166,0.9997
19,clean_article6,0.03,0.891,0.079,0.9804
20,clean_article7,0.03,0.912,0.058,0.8291
21,clean_article8,0.02,0.881,0.099,0.9967
22,clean_article9,0.0,0.816,0.184,0.717
