,date,num_of_articles,neg_average,neu_average,pos_average,compound_average
117,2021-04-28,81,0.04,0.85,0.11,0.68
118,2021-04-29,90,0.03,0.84,0.11,0.69
119,2021-04-30,91,0.04,0.85,0.11,0.69
120,2021-05-01,63,0.04,0.85,0.11,0.75
121,2021-05-02,46,0.05,0.84,0.12,0.68
122,2021-05-03,94,0.04,0.85,0.1,0.72
123,2021-05-04,87,0.04,0.86,0.1,0.73
124,2021-05-05,84,0.03,0.86,0.1,0.7
125,2021-05-06,92,0.03,0.86,0.11,0.76
126,2021-05-07,88,0.04,0.85,0.1,0.66
127,2021-05-08,44,0.04,0.86,0.1,0.6
128,2021-05-09,62,0.04,0.86,0.1,0.65
129,2021-05-10,94,0.03,0.86,0.1,0.67
130,2021-05-11,56,0.04,0.86,0.1,0.71
131,2021-05-12,91,0.03,0.84,0.11,0.75
132,2021-05-13,91,0.04,0.84,0.11,0.64
133,2021-05-14,78,0.04,0.84,0.1,0.6
134,2021-05-15,25,0.05,0.86,0.09,0.6
135,2021-05-16,30,0.05,0.81,0.11,0.73
136,2021-05-17,71,0.05,0.84,0.11,0.5
137,2021-05-18,93,0.04,0.85,0.09,0.55
138,2021-05-19,84,0.05,0.84,0.1,0.48
139,2021-05-20,87,0.04,0.84,0.1,0.63
140,2021-05-21,91,0.05,0.84,0.11,0.58
141,2021-05-22,57,0.04,0.85,0.11,0.59
142,2021-05-23,61,0.05,0.86,0.09,0.42
143,2021-05-24,83,0.05,0.85,0.1,0.52
144,2021-05-25,92,0.04,0.85,0.1,0.63
145,2021-05-26,91,0.04,0.87,0.1,0.62
146,2021-05-27,92,0.05,0.84,0.11,0.56
147,2021-05-28,91,0.04,0.85,0.1,0.55
148,2021-05-29,91,0.04,0.85,0.1,0.59
149,2021-05-30,98,0.05,0.85,0.09,0.51
150,2021-05-31,89,0.04,0.86,0.1,0.53
151,2021-06-01,97,0.05,0.85,0.09,0.51
152,2021-06-02,92,0.04,0.86,0.1,0.64
153,2021-06-03,89,0.04,0.86,0.1,0.66
154,2021-06-04,96,0.04,0.85,0.11,0.64
155,2021-06-05,87,0.04,0.85,0.09,0.62
156,2021-06-06,98,0.05,0.84,0.1,0.63
157,2021-06-07,91,0.04,0.83,0.09,0.47
158,2021-06-08,88,0.04,0.84,0.11,0.57
