,name,neg,neu,pos,compound
0,clean_article0,0.038,0.88,0.082,0.9954
1,clean_article1,0.042,0.877,0.08,0.9843
2,clean_article10,0.05,0.907,0.043,-0.5574
3,clean_article11,0.0,0.816,0.184,0.717
4,clean_article12,0.089,0.808,0.104,0.8434
5,clean_article13,0.035,0.807,0.158,0.9893
6,clean_article14,0.064,0.887,0.049,-0.9181
7,clean_article15,0.006,0.862,0.131,0.991
8,clean_article16,0.033,0.871,0.096,0.9954
9,clean_article17,0.065,0.786,0.149,0.94
10,clean_article18,0.122,0.754,0.125,-0.2263
11,clean_article19,0.033,0.841,0.126,0.9888
12,clean_article2,0.04,0.92,0.04,0.4413
13,clean_article20,0.014,0.857,0.128,0.993
14,clean_article21,0.037,0.87,0.094,0.9903
15,clean_article22,0.0,0.0,0.0,0.0
16,clean_article23,0.075,0.857,0.068,-0.8358
17,clean_article24,0.057,0.869,0.073,0.4576
18,clean_article25,0.027,0.872,0.101,0.9862
19,clean_article26,0.014,0.871,0.115,0.9862
20,clean_article27,0.045,0.878,0.078,0.9305
21,clean_article28,0.018,0.901,0.081,0.9868
22,clean_article29,0.0,0.942,0.058,0.9053
23,clean_article3,0.051,0.874,0.075,0.6956
24,clean_article30,0.056,0.829,0.115,0.9893
25,clean_article31,0.082,0.815,0.103,0.961
26,clean_article32,0.035,0.795,0.17,0.9706
27,clean_article4,0.133,0.812,0.055,-0.91
28,clean_article5,0.022,0.811,0.168,0.9978
29,clean_article6,0.033,0.887,0.08,0.9791
30,clean_article7,0.013,0.859,0.129,0.9953
31,clean_article8,0.098,0.78,0.122,0.9837
32,clean_article9,0.054,0.834,0.112,0.9968
