,name,neg,neu,pos,compound
0,clean_article0,0.0,0.968,0.032,0.1779
1,clean_article1,0.015,0.923,0.062,0.9764
2,clean_article10,0.05,0.844,0.106,0.9985
3,clean_article11,0.041,0.887,0.072,0.8792
4,clean_article12,0.027,0.914,0.059,0.6124
5,clean_article13,0.053,0.852,0.095,0.9848
6,clean_article14,0.047,0.905,0.047,0.2625
7,clean_article15,0.05,0.902,0.048,-0.0072
8,clean_article16,0.041,0.898,0.061,0.419
9,clean_article17,0.053,0.83,0.116,0.9946
10,clean_article18,0.0,0.816,0.184,0.717
11,clean_article19,0.038,0.842,0.12,0.9904
12,clean_article2,0.083,0.9,0.017,-0.7935
13,clean_article20,0.076,0.795,0.13,0.9877
14,clean_article21,0.069,0.807,0.124,0.4833
15,clean_article22,0.023,0.907,0.07,0.979
16,clean_article23,0.065,0.837,0.099,0.9682
17,clean_article24,0.036,0.768,0.196,0.9995
18,clean_article25,0.0,1.0,0.0,0.0
19,clean_article26,0.037,0.85,0.112,0.9937
20,clean_article27,0.062,0.869,0.069,-0.0454
21,clean_article28,0.037,0.848,0.114,0.9973
22,clean_article29,0.058,0.892,0.05,0.1933
23,clean_article3,0.072,0.84,0.087,0.34
24,clean_article30,0.043,0.888,0.069,0.5121
25,clean_article31,0.048,0.824,0.128,0.9931
26,clean_article32,0.035,0.903,0.063,0.9474
27,clean_article33,0.081,0.769,0.15,0.9923
28,clean_article34,0.0,0.79,0.21,0.8207
29,clean_article35,0.025,0.867,0.108,0.9973
30,clean_article36,0.124,0.835,0.041,-0.9927
31,clean_article37,0.063,0.914,0.022,-0.7964
32,clean_article38,0.016,0.856,0.128,0.9965
33,clean_article39,0.053,0.836,0.112,0.9873
34,clean_article4,0.038,0.84,0.123,0.9977
35,clean_article40,0.008,0.871,0.121,0.9623
36,clean_article41,0.056,0.85,0.094,0.9349
37,clean_article42,0.064,0.808,0.127,0.9375
38,clean_article43,0.065,0.858,0.077,0.9173
39,clean_article44,0.075,0.849,0.076,-0.502
40,clean_article45,0.026,0.871,0.103,0.9956
41,clean_article46,0.029,0.766,0.205,0.9966
42,clean_article47,0.015,0.922,0.063,0.9051
43,clean_article48,0.0,0.916,0.084,0.9835
44,clean_article49,0.081,0.828,0.091,0.8004
45,clean_article5,0.046,0.899,0.055,0.6856
46,clean_article50,0.023,0.821,0.156,0.9978
47,clean_article51,0.043,0.885,0.072,0.9517
48,clean_article52,0.035,0.764,0.201,0.9994
49,clean_article53,0.088,0.882,0.03,-0.936
50,clean_article54,0.06,0.843,0.097,0.9929
51,clean_article55,0.041,0.867,0.092,0.9682
52,clean_article56,0.107,0.826,0.067,-0.9382
53,clean_article57,0.056,0.837,0.107,0.9387
54,clean_article58,0.101,0.805,0.095,-0.7244
55,clean_article59,0.003,0.924,0.072,0.964
56,clean_article6,0.074,0.877,0.049,-0.8625
57,clean_article60,0.023,0.856,0.121,0.9987
58,clean_article61,0.051,0.823,0.126,0.9845
59,clean_article62,0.015,0.851,0.134,0.9936
60,clean_article63,0.006,0.901,0.093,0.9865
61,clean_article64,0.0,0.968,0.032,0.5209
62,clean_article65,0.06,0.881,0.059,-0.5719
63,clean_article66,0.072,0.849,0.079,0.4678
64,clean_article67,0.068,0.84,0.092,0.6141
65,clean_article68,0.041,0.855,0.105,0.3818
66,clean_article69,0.083,0.881,0.036,-0.8934
67,clean_article7,0.01,0.888,0.102,0.9559
68,clean_article70,0.06,0.808,0.132,0.9926
69,clean_article71,0.019,0.845,0.136,0.9983
70,clean_article72,0.087,0.831,0.082,-0.9086
71,clean_article73,0.027,0.907,0.066,0.9683
72,clean_article74,0.038,0.827,0.135,0.9872
73,clean_article75,0.055,0.825,0.121,0.9696
74,clean_article76,0.05,0.836,0.114,0.9938
75,clean_article77,0.023,0.907,0.07,0.6369
76,clean_article78,0.022,0.882,0.096,0.992
77,clean_article79,0.04,0.872,0.088,0.8885
78,clean_article8,0.0,0.641,0.359,0.8122
79,clean_article80,0.007,0.903,0.09,0.9924
80,clean_article81,0.025,0.896,0.079,0.8625
81,clean_article82,0.05,0.842,0.108,0.9865
82,clean_article83,0.025,0.856,0.118,0.9996
83,clean_article84,0.111,0.784,0.105,-0.9598
84,clean_article85,0.045,0.879,0.077,0.8882
85,clean_article86,0.115,0.783,0.102,-0.9442
86,clean_article87,0.032,0.861,0.107,0.9875
87,clean_article88,0.0,0.585,0.415,0.8765
88,clean_article89,0.011,0.763,0.226,0.998
89,clean_article9,0.083,0.805,0.113,0.993
90,clean_article90,0.017,0.853,0.13,0.9912
