,name,neg,neu,pos,compound
0,clean_article0,0.027,0.897,0.076,0.9485
1,clean_article1,0.021,0.881,0.097,0.9924
2,clean_article10,0.07,0.872,0.058,-0.6873
3,clean_article11,0.035,0.852,0.113,0.9849
4,clean_article12,0.054,0.913,0.034,-0.5719
5,clean_article13,0.034,0.851,0.115,0.9831
6,clean_article14,0.035,0.85,0.116,0.9988
7,clean_article15,0.047,0.86,0.092,0.9338
8,clean_article16,0.062,0.828,0.11,0.9902
9,clean_article17,0.0,0.968,0.032,0.1779
10,clean_article18,0.0,0.816,0.184,0.717
11,clean_article19,0.01,0.817,0.173,0.9981
12,clean_article2,0.0,0.968,0.032,0.1779
13,clean_article20,0.054,0.866,0.081,0.9626
14,clean_article21,0.0,0.0,0.0,0.0
15,clean_article22,0.007,0.866,0.126,0.9982
16,clean_article23,0.045,0.9,0.055,0.6422
17,clean_article24,0.07,0.869,0.061,-0.8603
18,clean_article25,0.0,0.816,0.184,0.717
19,clean_article26,0.0,0.854,0.146,0.9923
20,clean_article27,0.026,0.914,0.06,0.849
21,clean_article28,0.024,0.905,0.071,0.9866
22,clean_article29,0.067,0.823,0.11,0.9964
23,clean_article3,0.028,0.911,0.062,0.2846
24,clean_article30,0.043,0.811,0.146,0.9981
25,clean_article31,0.047,0.824,0.128,0.988
26,clean_article32,0.015,0.957,0.028,0.7202
27,clean_article33,0.037,0.907,0.056,0.8979
28,clean_article34,0.0,0.917,0.083,0.9808
29,clean_article35,0.047,0.842,0.111,0.9108
30,clean_article36,0.019,0.863,0.118,0.989
31,clean_article37,0.044,0.844,0.112,0.9694
32,clean_article38,0.067,0.933,0.0,-0.3182
33,clean_article39,0.012,0.852,0.136,0.9195
34,clean_article4,0.054,0.828,0.118,0.9984
35,clean_article40,0.0,1.0,0.0,0.0
36,clean_article41,0.0,0.916,0.084,0.8885
37,clean_article42,0.046,0.912,0.042,-0.0516
38,clean_article43,0.013,0.891,0.095,0.996
39,clean_article44,0.026,0.889,0.085,0.9371
40,clean_article45,0.058,0.827,0.115,0.9985
41,clean_article46,0.019,0.899,0.082,0.9625
42,clean_article47,0.038,0.859,0.102,0.9862
43,clean_article48,0.052,0.787,0.161,1.0
44,clean_article49,0.033,0.911,0.056,0.8153
45,clean_article5,0.0,0.816,0.184,0.717
46,clean_article50,0.006,0.901,0.093,0.9571
47,clean_article51,0.017,0.842,0.141,0.9991
48,clean_article52,0.094,0.822,0.084,0.3818
49,clean_article53,0.023,0.927,0.05,0.3693
50,clean_article54,0.0,1.0,0.0,0.0
51,clean_article55,0.015,0.895,0.09,0.9962
52,clean_article56,0.076,0.858,0.066,-0.2462
53,clean_article57,0.008,0.862,0.129,0.9899
54,clean_article58,0.074,0.811,0.115,0.9668
55,clean_article59,0.0,0.823,0.177,0.9768
56,clean_article6,0.0,0.816,0.184,0.717
57,clean_article60,0.021,0.9,0.078,0.9972
58,clean_article61,0.06,0.852,0.088,0.806
59,clean_article62,0.034,0.894,0.072,0.9805
60,clean_article63,0.039,0.878,0.084,0.972
61,clean_article64,0.012,0.831,0.157,0.9967
62,clean_article65,0.05,0.858,0.092,0.9965
63,clean_article66,0.167,0.786,0.047,-0.9886
64,clean_article67,0.026,0.902,0.072,0.9792
65,clean_article68,0.044,0.856,0.1,0.9467
66,clean_article69,0.045,0.799,0.156,0.9976
67,clean_article7,0.034,0.893,0.073,0.9759
68,clean_article70,0.015,0.843,0.142,0.9949
69,clean_article71,0.069,0.809,0.123,0.9922
70,clean_article72,0.012,0.865,0.123,0.9982
71,clean_article73,0.007,0.935,0.059,0.9785
72,clean_article74,0.02,0.897,0.084,0.997
73,clean_article75,0.112,0.804,0.084,-0.852
74,clean_article76,0.055,0.854,0.091,0.9847
75,clean_article77,0.054,0.881,0.064,0.5423
76,clean_article78,0.0,1.0,0.0,0.0
77,clean_article79,0.022,0.866,0.112,0.9974
78,clean_article8,0.0,0.816,0.184,0.717
79,clean_article80,0.015,0.92,0.065,0.9552
80,clean_article81,0.026,0.83,0.144,0.987
81,clean_article82,0.029,0.924,0.047,0.6917
82,clean_article83,0.011,0.882,0.107,0.9942
83,clean_article84,0.086,0.764,0.15,0.9891
84,clean_article85,0.093,0.82,0.087,-0.9596
85,clean_article86,0.0,0.615,0.385,0.7579
86,clean_article87,0.0,0.848,0.152,0.3612
87,clean_article88,0.017,0.95,0.032,0.4555
88,clean_article89,0.016,0.878,0.107,0.9565
89,clean_article9,0.0,0.904,0.096,0.886
90,clean_article90,0.075,0.838,0.087,0.6764
91,clean_article91,0.0,0.852,0.148,0.9853
92,clean_article92,0.106,0.868,0.026,-0.9936
93,clean_article93,0.055,0.837,0.108,0.9901
