,name,neg,neu,pos,compound
0,clean_article0,0.07,0.885,0.045,-0.5719
1,clean_article1,0.023,0.922,0.055,0.9332
2,clean_article10,0.005,0.879,0.116,0.9977
3,clean_article11,0.012,0.843,0.145,0.9545
4,clean_article12,0.065,0.845,0.09,0.856
5,clean_article13,0.058,0.839,0.103,0.9954
6,clean_article14,0.046,0.821,0.133,0.9998
7,clean_article15,0.035,0.861,0.104,0.9976
8,clean_article16,0.023,0.892,0.085,0.984
9,clean_article17,0.039,0.881,0.08,0.9962
10,clean_article18,0.017,0.922,0.061,0.9403
11,clean_article19,0.0,0.891,0.109,0.9853
12,clean_article2,0.0,0.942,0.058,0.8516
13,clean_article20,0.023,0.796,0.18,0.9998
14,clean_article21,0.022,0.842,0.136,0.9995
15,clean_article22,0.013,0.872,0.115,0.9993
16,clean_article23,0.017,0.857,0.126,0.9994
17,clean_article3,0.022,0.861,0.117,0.9979
18,clean_article4,0.072,0.837,0.092,0.6257
19,clean_article5,0.054,0.848,0.099,0.9978
20,clean_article6,0.0,0.816,0.184,0.717
21,clean_article7,0.051,0.835,0.114,0.9965
22,clean_article8,0.058,0.813,0.13,0.8011
23,clean_article9,0.016,0.903,0.082,0.9878
