,name,neg,neu,pos,compound
0,clean_article0,0.075,0.883,0.042,-0.9001
1,clean_article1,0.033,0.924,0.042,0.1779
2,clean_article10,0.044,0.879,0.076,0.9649
3,clean_article11,0.072,0.845,0.083,0.7351
4,clean_article12,0.0,0.641,0.359,0.8122
5,clean_article13,0.071,0.791,0.138,0.9994
6,clean_article14,0.044,0.836,0.12,0.9988
7,clean_article15,0.077,0.871,0.052,-0.7862
8,clean_article16,0.104,0.84,0.057,-0.959
9,clean_article17,0.082,0.827,0.091,0.8834
10,clean_article18,0.068,0.932,0.0,-0.2732
11,clean_article19,0.04,0.872,0.088,0.9934
12,clean_article2,0.085,0.869,0.046,-0.9243
13,clean_article20,0.052,0.847,0.101,0.9753
14,clean_article21,0.035,0.949,0.016,-0.6249
15,clean_article22,0.047,0.866,0.087,0.9357
16,clean_article23,0.057,0.901,0.041,-0.7843
17,clean_article24,0.05,0.766,0.184,0.6808
18,clean_article25,0.0,0.936,0.064,0.9501
19,clean_article26,0.062,0.742,0.196,0.9991
20,clean_article27,0.069,0.898,0.033,-0.9022
21,clean_article28,0.049,0.951,0.0,-0.3818
22,clean_article29,0.034,0.857,0.109,0.996
23,clean_article3,0.039,0.879,0.081,0.9896
24,clean_article30,0.079,0.856,0.065,-0.9227
25,clean_article31,0.038,0.917,0.045,0.3634
26,clean_article32,0.073,0.786,0.141,0.9973
27,clean_article33,0.093,0.907,0.0,-0.6369
28,clean_article34,0.034,0.903,0.064,0.8918
29,clean_article35,0.0,0.816,0.184,0.717
30,clean_article36,0.059,0.824,0.117,0.9945
31,clean_article37,0.05,0.862,0.088,0.9652
32,clean_article38,0.046,0.81,0.145,0.992
33,clean_article39,0.029,0.904,0.066,0.9275
34,clean_article4,0.037,0.861,0.102,0.9657
35,clean_article40,0.049,0.859,0.093,0.9904
36,clean_article41,0.053,0.838,0.109,0.9839
37,clean_article42,0.066,0.813,0.121,0.9643
38,clean_article43,0.05,0.8,0.15,0.9978
39,clean_article44,0.044,0.862,0.094,0.9613
40,clean_article45,0.097,0.816,0.088,-0.6161
41,clean_article46,0.077,0.875,0.048,-0.8693
42,clean_article47,0.049,0.889,0.063,0.4588
43,clean_article48,0.018,0.789,0.193,0.9992
44,clean_article49,0.039,0.871,0.09,0.9702
45,clean_article5,0.036,0.933,0.031,-0.4019
46,clean_article50,0.064,0.867,0.069,-0.0
47,clean_article51,0.031,0.908,0.061,0.9019
48,clean_article52,0.043,0.851,0.106,0.9976
49,clean_article53,0.008,0.892,0.099,0.993
50,clean_article54,0.0,0.886,0.114,0.9606
51,clean_article55,0.005,0.883,0.112,0.9877
52,clean_article56,0.025,0.86,0.115,0.9979
53,clean_article57,0.103,0.828,0.069,-0.9286
54,clean_article58,0.019,0.897,0.085,0.9738
55,clean_article59,0.06,0.861,0.079,0.8885
56,clean_article6,0.0,0.816,0.184,0.717
57,clean_article60,0.127,0.799,0.074,-0.9611
58,clean_article7,0.037,0.894,0.069,0.7579
59,clean_article8,0.026,0.942,0.033,0.5267
60,clean_article9,0.042,0.927,0.032,-0.5849
