,name,neg,neu,pos,compound
0,clean_article0,0.029,0.873,0.099,0.9894
1,clean_article1,0.0,0.641,0.359,0.8122
2,clean_article10,0.039,0.848,0.112,0.9992
3,clean_article11,0.008,0.843,0.149,0.9978
4,clean_article12,0.019,0.894,0.087,0.9678
5,clean_article13,0.032,0.796,0.172,0.9935
6,clean_article14,0.017,0.858,0.125,0.9725
7,clean_article15,0.152,0.8,0.048,-0.9845
8,clean_article16,0.064,0.834,0.102,0.9731
9,clean_article17,0.025,0.839,0.137,0.9888
10,clean_article18,0.043,0.915,0.043,0.0516
11,clean_article19,0.036,0.875,0.089,0.9948
12,clean_article2,0.023,0.889,0.088,0.9921
13,clean_article20,0.052,0.874,0.074,0.5563
14,clean_article21,0.036,0.777,0.187,0.9994
15,clean_article22,0.038,0.888,0.073,0.9055
16,clean_article23,0.02,0.841,0.138,0.9962
17,clean_article24,0.072,0.82,0.108,0.9965
18,clean_article25,0.093,0.872,0.035,-0.9744
19,clean_article26,0.015,0.915,0.07,0.9735
20,clean_article27,0.0,1.0,0.0,0.0
21,clean_article28,0.01,0.864,0.126,0.9967
22,clean_article29,0.003,0.904,0.093,0.9949
23,clean_article3,0.078,0.791,0.131,0.9982
24,clean_article30,0.0,0.818,0.182,0.8777
25,clean_article31,0.065,0.869,0.065,-0.6169
26,clean_article32,0.023,0.877,0.101,0.9921
27,clean_article33,0.034,0.788,0.177,0.9988
28,clean_article34,0.018,0.885,0.097,0.9382
29,clean_article35,0.044,0.862,0.094,0.9773
30,clean_article36,0.042,0.907,0.051,0.0763
31,clean_article37,0.103,0.836,0.061,-0.7003
32,clean_article38,0.063,0.835,0.103,0.9309
33,clean_article39,0.0,0.938,0.062,0.4215
34,clean_article4,0.014,0.936,0.05,0.6124
35,clean_article40,0.018,0.797,0.184,0.999
36,clean_article41,0.003,0.877,0.12,0.9934
37,clean_article42,0.067,0.933,0.0,-0.3491
38,clean_article43,0.095,0.81,0.095,0.3182
39,clean_article5,0.043,0.891,0.066,0.9549
40,clean_article6,0.093,0.823,0.084,-0.8845
41,clean_article7,0.078,0.796,0.126,0.9974
42,clean_article8,0.032,0.945,0.023,-0.1513
43,clean_article9,0.02,0.816,0.163,0.9995
