,name,neg,neu,pos,compound
0,clean_article0,0.038,0.869,0.093,0.9919
1,clean_article1,0.005,0.894,0.101,0.9922
2,clean_article10,0.015,0.933,0.052,0.9324
3,clean_article11,0.0,0.816,0.184,0.717
4,clean_article12,0.015,0.92,0.065,0.9614
5,clean_article13,0.048,0.898,0.055,0.8212
6,clean_article14,0.022,0.886,0.092,0.8885
7,clean_article15,0.009,0.899,0.092,0.9555
8,clean_article16,0.038,0.904,0.058,0.9371
9,clean_article17,0.0,0.816,0.184,0.717
10,clean_article18,0.0,0.816,0.184,0.717
11,clean_article19,0.014,0.866,0.12,0.9876
12,clean_article2,0.027,0.829,0.143,0.9953
13,clean_article20,0.02,0.914,0.066,0.9795
14,clean_article21,0.037,0.809,0.155,0.9914
15,clean_article22,0.022,0.891,0.087,0.9632
16,clean_article23,0.039,0.81,0.15,0.9976
17,clean_article24,0.062,0.886,0.052,-0.8746
18,clean_article3,0.023,0.906,0.071,0.8402
19,clean_article4,0.049,0.821,0.13,0.9979
20,clean_article5,0.063,0.825,0.112,0.998
21,clean_article6,0.049,0.862,0.09,0.974
22,clean_article7,0.053,0.849,0.098,0.9701
23,clean_article8,0.02,0.877,0.103,0.9709
24,clean_article9,0.012,0.878,0.11,0.9678
