,name,neg,neu,pos,compound
0,clean_article0,0.043,0.854,0.103,0.9916
1,clean_article1,0.032,0.861,0.107,0.9966
2,clean_article10,0.022,0.879,0.099,0.9972
3,clean_article11,0.068,0.932,0.0,-0.2732
4,clean_article12,0.0,0.968,0.032,0.1779
5,clean_article13,0.038,0.795,0.167,0.9995
6,clean_article14,0.047,0.869,0.084,0.9764
7,clean_article15,0.028,0.902,0.07,0.9838
8,clean_article16,0.057,0.878,0.065,0.7612
9,clean_article17,0.097,0.784,0.12,0.9932
10,clean_article18,0.0,0.874,0.126,0.9565
11,clean_article2,0.035,0.9,0.065,0.9294
12,clean_article3,0.0,0.816,0.184,0.717
13,clean_article4,0.046,0.886,0.068,0.9371
14,clean_article5,0.041,0.82,0.139,0.9971
15,clean_article6,0.037,0.876,0.087,0.7887
16,clean_article7,0.019,0.928,0.053,0.9547
17,clean_article8,0.083,0.771,0.146,0.9959
18,clean_article9,0.0,0.816,0.184,0.717
