,name,neg,neu,pos,compound
0,clean_article0,0.0,0.816,0.184,0.717
1,clean_article1,0.036,0.964,0.0,-0.1027
2,clean_article10,0.0,0.816,0.184,0.717
3,clean_article11,0.026,0.9,0.075,0.9648
4,clean_article12,0.082,0.853,0.065,-0.878
5,clean_article13,0.02,0.874,0.106,0.9865
6,clean_article14,0.038,0.863,0.098,0.9829
7,clean_article15,0.007,0.923,0.07,0.9403
8,clean_article16,0.035,0.863,0.102,0.9423
9,clean_article17,0.035,0.855,0.11,0.9992
10,clean_article18,0.031,0.822,0.147,0.9957
11,clean_article19,0.017,0.796,0.187,0.9992
12,clean_article2,0.009,0.957,0.034,0.5574
13,clean_article20,0.079,0.834,0.087,0.1839
14,clean_article21,0.055,0.827,0.118,0.9995
15,clean_article22,0.021,0.925,0.053,0.9127
16,clean_article23,0.031,0.843,0.126,0.9942
17,clean_article24,0.04,0.859,0.101,0.9976
18,clean_article3,0.007,0.915,0.078,0.9812
19,clean_article4,0.0,0.816,0.184,0.717
20,clean_article5,0.0,0.973,0.027,0.3612
21,clean_article6,0.019,0.855,0.126,0.9921
22,clean_article7,0.0,0.816,0.184,0.717
23,clean_article8,0.0,0.816,0.184,0.717
24,clean_article9,0.034,0.902,0.064,0.8922
