,name,neg,neu,pos,compound
0,clean_article0,0.084,0.857,0.058,-0.866
1,clean_article1,0.014,0.897,0.089,0.9806
2,clean_article10,0.027,0.935,0.039,0.6314
3,clean_article11,0.02,0.89,0.09,0.9932
4,clean_article12,0.0,0.816,0.184,0.717
5,clean_article13,0.0,0.816,0.184,0.717
6,clean_article14,0.06,0.881,0.059,-0.7793
7,clean_article15,0.053,0.887,0.06,0.2958
8,clean_article16,0.038,0.868,0.094,0.9877
9,clean_article17,0.02,0.917,0.064,0.9161
10,clean_article18,0.027,0.856,0.116,0.9965
11,clean_article19,0.0,0.816,0.184,0.717
12,clean_article2,0.0,0.968,0.032,0.1779
13,clean_article20,0.026,0.858,0.116,0.9502
14,clean_article21,0.073,0.877,0.05,-0.6486
15,clean_article22,0.046,0.777,0.176,0.9989
16,clean_article23,0.0,0.968,0.032,0.1779
17,clean_article24,0.026,0.887,0.087,0.944
18,clean_article25,0.002,0.865,0.132,0.9943
19,clean_article26,0.076,0.862,0.062,-0.7701
20,clean_article27,0.066,0.903,0.031,-0.9277
21,clean_article28,0.051,0.825,0.124,0.9827
22,clean_article29,0.0,0.851,0.149,0.6705
23,clean_article3,0.103,0.764,0.133,0.296
24,clean_article30,0.0,0.908,0.092,0.6808
25,clean_article31,0.019,0.936,0.045,0.9022
26,clean_article32,0.025,0.788,0.187,0.999
27,clean_article33,0.045,0.918,0.037,-0.3259
28,clean_article34,0.07,0.93,0.0,-0.4215
29,clean_article35,0.047,0.839,0.113,0.9928
30,clean_article36,0.012,0.823,0.164,0.996
31,clean_article37,0.009,0.857,0.134,0.9843
32,clean_article38,0.0,0.0,0.0,0.0
33,clean_article39,0.031,0.837,0.132,0.9998
34,clean_article4,0.052,0.882,0.065,-0.09
35,clean_article40,0.031,0.869,0.1,0.9661
36,clean_article41,0.042,0.842,0.116,0.9598
37,clean_article42,0.013,0.93,0.056,0.9846
38,clean_article43,0.2,0.8,0.0,-0.849
39,clean_article44,0.046,0.84,0.113,0.9999
40,clean_article45,0.077,0.867,0.056,-0.9092
41,clean_article46,0.018,0.861,0.122,0.9954
42,clean_article47,0.102,0.878,0.02,-0.9764
43,clean_article48,0.045,0.807,0.148,0.9985
44,clean_article49,0.031,0.884,0.084,0.9675
45,clean_article5,0.018,0.907,0.075,0.9923
46,clean_article50,0.059,0.841,0.1,0.9836
47,clean_article51,0.022,0.921,0.057,0.8411
48,clean_article52,0.069,0.839,0.092,0.6908
49,clean_article53,0.026,0.824,0.15,0.9997
50,clean_article54,0.032,0.913,0.056,0.9462
51,clean_article55,0.08,0.815,0.105,0.9641
52,clean_article56,0.024,0.9,0.076,0.9908
53,clean_article57,0.0,0.887,0.113,0.9939
54,clean_article58,0.014,0.855,0.131,0.9971
55,clean_article59,0.08,0.819,0.101,0.9763
56,clean_article6,0.028,0.875,0.096,0.9934
57,clean_article60,0.165,0.766,0.068,-0.9978
58,clean_article61,0.056,0.852,0.092,0.7595
59,clean_article62,0.044,0.745,0.211,0.9986
60,clean_article63,0.027,0.851,0.121,0.9432
61,clean_article64,0.07,0.869,0.061,-0.646
62,clean_article65,0.009,0.869,0.122,0.9984
63,clean_article66,0.0,0.816,0.184,0.717
64,clean_article67,0.041,0.904,0.055,0.9399
65,clean_article68,0.139,0.751,0.11,-0.9805
66,clean_article69,0.088,0.85,0.062,-0.968
67,clean_article7,0.039,0.847,0.115,0.9959
68,clean_article70,0.02,0.873,0.107,0.9853
69,clean_article71,0.137,0.807,0.056,-0.9808
70,clean_article72,0.004,0.906,0.09,0.9855
71,clean_article73,0.011,0.866,0.123,0.9451
72,clean_article74,0.0,0.909,0.091,0.5719
73,clean_article75,0.094,0.837,0.069,-0.3337
74,clean_article76,0.076,0.858,0.066,-0.2462
75,clean_article77,0.0,1.0,0.0,0.0
76,clean_article78,0.061,0.659,0.28,0.875
77,clean_article79,0.081,0.828,0.092,0.0844
78,clean_article8,0.011,0.854,0.136,0.9733
79,clean_article80,0.012,0.83,0.157,0.9985
80,clean_article81,0.124,0.876,0.0,-0.8481
81,clean_article82,0.078,0.843,0.079,-0.1612
82,clean_article83,0.0,0.822,0.178,0.9973
83,clean_article84,0.029,0.854,0.117,0.9945
84,clean_article85,0.017,0.87,0.114,0.9886
85,clean_article86,0.0,0.0,0.0,0.0
86,clean_article87,0.051,0.824,0.124,0.9797
87,clean_article88,0.0,0.0,0.0,0.0
88,clean_article89,0.036,0.918,0.046,0.4144
89,clean_article9,0.093,0.798,0.108,0.6681
90,clean_article90,0.109,0.788,0.104,-0.6094
