,name,neg,neu,pos,compound
0,clean_article0,0.016,0.872,0.111,0.9938
1,clean_article1,0.012,0.928,0.06,0.9674
2,clean_article10,0.036,0.863,0.101,0.9981
3,clean_article11,0.018,0.865,0.117,0.9921
4,clean_article12,0.06,0.812,0.128,0.9986
5,clean_article13,0.032,0.942,0.026,0.25
6,clean_article14,0.064,0.846,0.09,0.9212
7,clean_article15,0.037,0.906,0.057,0.8203
8,clean_article16,0.017,0.831,0.151,0.9337
9,clean_article17,0.028,0.902,0.07,0.9814
10,clean_article18,0.036,0.803,0.161,0.9937
11,clean_article19,0.0,0.884,0.116,0.9919
12,clean_article2,0.008,0.948,0.044,0.8481
13,clean_article20,0.02,0.868,0.111,0.9789
14,clean_article21,0.012,0.793,0.196,0.9994
15,clean_article3,0.067,0.798,0.135,0.9977
16,clean_article4,0.046,0.886,0.068,0.743
17,clean_article5,0.059,0.856,0.084,0.9732
18,clean_article6,0.0,0.894,0.106,0.6249
19,clean_article7,0.039,0.855,0.106,0.9768
20,clean_article8,0.058,0.805,0.137,0.963
21,clean_article9,0.103,0.764,0.133,0.296
