,name,neg,neu,pos,compound
0,clean_article0,0.029,0.897,0.074,0.9852
1,clean_article1,0.103,0.764,0.133,0.296
2,clean_article10,0.039,0.834,0.128,1.0
3,clean_article11,0.012,0.884,0.104,0.9972
4,clean_article12,0.09,0.856,0.054,-0.9548
5,clean_article13,0.046,0.742,0.211,0.9381
6,clean_article14,0.055,0.87,0.076,0.9117
7,clean_article15,0.004,0.869,0.127,0.9901
8,clean_article2,0.089,0.843,0.068,-0.8522
9,clean_article3,0.043,0.902,0.056,0.8652
10,clean_article4,0.079,0.83,0.092,0.3687
11,clean_article5,0.057,0.856,0.087,0.9641
12,clean_article6,0.023,0.827,0.15,0.9967
13,clean_article7,0.052,0.842,0.106,0.9998
14,clean_article8,0.103,0.764,0.133,0.296
15,clean_article9,0.0,0.881,0.119,0.743
