,name,neg,neu,pos,compound
0,clean_article0,0.058,0.86,0.082,0.4742
1,clean_article1,0.063,0.848,0.089,0.9748
2,clean_article10,0.067,0.865,0.067,-0.2908
3,clean_article11,0.071,0.81,0.12,0.9952
4,clean_article12,0.058,0.855,0.087,0.8376
5,clean_article13,0.064,0.856,0.079,0.7899
6,clean_article14,0.058,0.865,0.077,0.3252
7,clean_article15,0.078,0.875,0.048,-0.6762
8,clean_article16,0.083,0.843,0.074,-0.7266
9,clean_article17,0.037,0.899,0.064,0.9737
10,clean_article18,0.08,0.92,0.0,-0.4019
11,clean_article19,0.003,0.905,0.092,0.995
12,clean_article2,0.025,0.906,0.069,0.8456
13,clean_article20,0.103,0.764,0.133,0.296
14,clean_article21,0.054,0.867,0.079,0.9397
15,clean_article22,0.05,0.886,0.064,0.6659
16,clean_article23,0.031,0.887,0.083,0.9836
17,clean_article24,0.06,0.868,0.073,0.6022
18,clean_article25,0.048,0.883,0.068,0.9317
19,clean_article26,0.018,0.876,0.106,0.9839
20,clean_article27,0.051,0.912,0.037,-0.4848
21,clean_article28,0.018,0.905,0.076,0.9768
22,clean_article29,0.021,0.824,0.155,0.997
23,clean_article3,0.028,0.915,0.057,0.8455
24,clean_article4,0.048,0.877,0.075,0.9429
25,clean_article5,0.004,0.945,0.051,0.9355
26,clean_article6,0.063,0.862,0.075,0.6478
27,clean_article7,0.0,0.641,0.359,0.8122
28,clean_article8,0.049,0.863,0.088,0.9608
29,clean_article9,0.066,0.821,0.113,0.9956
