,name,neg,neu,pos,compound
0,clean_article0,0.0,0.968,0.032,0.1779
1,clean_article1,0.0,0.902,0.098,0.9334
2,clean_article10,0.021,0.915,0.064,0.9239
3,clean_article11,0.024,0.883,0.093,0.8957
4,clean_article12,0.0,0.816,0.184,0.717
5,clean_article13,0.057,0.801,0.142,0.9978
6,clean_article14,0.045,0.84,0.115,0.9908
7,clean_article15,0.0,0.816,0.184,0.717
8,clean_article16,0.01,0.905,0.084,0.9741
9,clean_article17,0.044,0.805,0.151,0.9985
10,clean_article18,0.048,0.874,0.078,0.8362
11,clean_article19,0.033,0.911,0.056,0.7176
12,clean_article2,0.0,0.968,0.032,0.1779
13,clean_article20,0.098,0.818,0.084,-0.964
14,clean_article21,0.036,0.825,0.139,0.9976
15,clean_article22,0.017,0.925,0.058,0.9618
16,clean_article23,0.024,0.915,0.061,0.9932
17,clean_article24,0.094,0.829,0.077,-0.9275
18,clean_article25,0.011,0.912,0.076,0.9915
19,clean_article26,0.04,0.879,0.082,0.9454
20,clean_article27,0.052,0.83,0.118,0.99
21,clean_article28,0.021,0.855,0.125,0.9974
22,clean_article29,0.037,0.875,0.088,0.8074
23,clean_article3,0.034,0.919,0.047,0.5217
24,clean_article30,0.068,0.822,0.109,0.9989
25,clean_article31,0.12,0.745,0.135,0.9751
26,clean_article32,0.0,0.816,0.184,0.717
27,clean_article33,0.028,0.822,0.151,0.9998
28,clean_article34,0.032,0.93,0.037,0.0338
29,clean_article35,0.0,0.893,0.107,0.9862
30,clean_article36,0.072,0.826,0.102,0.9996
31,clean_article37,0.04,0.85,0.11,0.9972
32,clean_article38,0.021,0.878,0.101,0.9791
33,clean_article39,0.044,0.885,0.071,0.9117
34,clean_article4,0.0,0.898,0.102,0.989
35,clean_article40,0.018,0.795,0.187,0.9979
36,clean_article41,0.023,0.874,0.103,0.9955
37,clean_article42,0.045,0.873,0.082,0.9811
38,clean_article43,0.03,0.918,0.052,0.891
39,clean_article44,0.145,0.782,0.073,-0.9958
40,clean_article45,0.039,0.802,0.159,0.9992
41,clean_article46,0.037,0.838,0.125,0.9998
42,clean_article47,0.054,0.858,0.088,0.9662
43,clean_article48,0.027,0.854,0.119,0.9967
44,clean_article49,0.054,0.874,0.072,0.9276
45,clean_article5,0.067,0.835,0.098,0.9909
46,clean_article50,0.024,0.917,0.059,0.9371
47,clean_article51,0.04,0.817,0.144,0.9698
48,clean_article52,0.036,0.944,0.02,-0.8834
49,clean_article53,0.115,0.821,0.064,-0.946
50,clean_article54,0.018,0.84,0.142,1.0
51,clean_article55,0.007,0.837,0.157,0.9978
52,clean_article6,0.037,0.834,0.129,0.9896
53,clean_article7,0.028,0.827,0.146,0.9994
54,clean_article8,0.013,0.823,0.163,0.9716
55,clean_article9,0.122,0.754,0.125,-0.2263
