,name,neg,neu,pos,compound
0,clean_article0,0.0,0.968,0.032,0.1779
1,clean_article1,0.0,0.968,0.032,0.1779
2,clean_article10,0.0,0.816,0.184,0.717
3,clean_article11,0.0,0.968,0.032,0.1779
4,clean_article12,0.036,0.858,0.106,0.9917
5,clean_article13,0.043,0.888,0.07,0.9646
6,clean_article14,0.056,0.792,0.152,0.9962
7,clean_article15,0.014,0.892,0.094,0.9734
8,clean_article16,0.007,0.788,0.205,0.9986
9,clean_article17,0.0,0.849,0.151,0.9989
10,clean_article18,0.021,0.855,0.123,0.9979
11,clean_article19,0.097,0.773,0.13,0.9379
12,clean_article2,0.076,0.87,0.053,-0.8637
13,clean_article20,0.021,0.884,0.095,0.9924
14,clean_article21,0.043,0.9,0.057,0.7774
15,clean_article22,0.033,0.935,0.032,-0.1027
16,clean_article23,0.09,0.806,0.104,0.3314
17,clean_article24,0.094,0.823,0.083,-0.5245
18,clean_article25,0.058,0.826,0.116,0.996
19,clean_article26,0.04,0.856,0.104,0.9918
20,clean_article27,0.0,0.816,0.184,0.717
21,clean_article28,0.005,0.886,0.109,0.9731
22,clean_article29,0.081,0.79,0.129,0.9812
23,clean_article3,0.062,0.883,0.055,-0.7307
24,clean_article30,0.031,0.823,0.147,0.9999
25,clean_article31,0.021,0.841,0.138,0.9937
26,clean_article32,0.043,0.901,0.056,0.5423
27,clean_article33,0.0,0.968,0.032,0.1779
28,clean_article34,0.005,0.815,0.181,0.9984
29,clean_article35,0.0,0.641,0.359,0.8122
30,clean_article36,0.042,0.87,0.088,0.9808
31,clean_article37,0.0,0.941,0.059,0.9476
32,clean_article38,0.103,0.862,0.035,-0.9703
33,clean_article39,0.178,0.811,0.011,-0.9978
34,clean_article4,0.0,0.641,0.359,0.8122
35,clean_article40,0.024,0.903,0.072,0.9895
36,clean_article41,0.082,0.825,0.094,0.6061
37,clean_article42,0.022,0.925,0.054,0.8863
38,clean_article43,0.008,0.877,0.115,0.9831
39,clean_article44,0.017,0.831,0.151,0.9337
40,clean_article45,0.01,0.881,0.11,0.9869
41,clean_article46,0.043,0.851,0.107,0.9881
42,clean_article47,0.025,0.857,0.118,0.9975
43,clean_article48,0.056,0.877,0.067,-0.4697
44,clean_article49,0.005,0.901,0.095,0.9731
45,clean_article5,0.048,0.837,0.115,0.9951
46,clean_article50,0.014,0.809,0.177,0.9984
47,clean_article51,0.02,0.846,0.133,0.9929
48,clean_article52,0.021,0.837,0.143,0.9995
49,clean_article53,0.1,0.768,0.132,0.4019
50,clean_article54,0.051,0.827,0.122,0.9881
51,clean_article55,0.059,0.851,0.091,0.9088
52,clean_article56,0.027,0.863,0.11,0.9698
53,clean_article57,0.02,0.826,0.154,0.9872
54,clean_article58,0.016,0.929,0.055,0.9166
55,clean_article59,0.046,0.872,0.082,0.9632
56,clean_article6,0.031,0.907,0.062,0.9804
57,clean_article60,0.041,0.81,0.149,0.9945
58,clean_article61,0.0,0.851,0.149,0.8402
59,clean_article62,0.011,0.899,0.09,0.9712
60,clean_article63,0.043,0.9,0.057,0.2709
61,clean_article64,0.086,0.9,0.014,-0.9702
62,clean_article65,0.016,0.886,0.098,0.987
63,clean_article66,0.011,0.928,0.061,0.9517
64,clean_article67,0.051,0.897,0.052,0.358
65,clean_article68,0.017,0.865,0.119,0.9919
66,clean_article69,0.004,0.937,0.058,0.9416
67,clean_article7,0.0,0.968,0.032,0.1779
68,clean_article70,0.041,0.88,0.079,0.975
69,clean_article71,0.093,0.765,0.142,0.9847
70,clean_article72,0.067,0.844,0.089,0.7873
71,clean_article73,0.062,0.87,0.067,0.5122
72,clean_article74,0.112,0.804,0.084,-0.9491
73,clean_article75,0.016,0.878,0.106,0.997
74,clean_article76,0.058,0.914,0.028,-0.8753
75,clean_article77,0.014,0.94,0.046,0.9115
76,clean_article78,0.047,0.858,0.095,0.9927
77,clean_article79,0.048,0.891,0.061,0.7732
78,clean_article8,0.0,0.796,0.204,0.9943
79,clean_article80,0.018,0.931,0.05,0.9136
80,clean_article81,0.086,0.812,0.102,0.5238
81,clean_article82,0.031,0.91,0.059,0.823
82,clean_article83,0.062,0.846,0.092,0.9771
83,clean_article84,0.01,0.886,0.104,0.9903
84,clean_article85,0.044,0.893,0.063,0.4651
85,clean_article86,0.039,0.774,0.187,0.9991
86,clean_article87,0.012,0.851,0.136,0.9953
87,clean_article88,0.036,0.876,0.089,0.5423
88,clean_article9,0.0,0.816,0.184,0.717
