,name,neg,neu,pos,compound
0,clean_article0,0.0,0.876,0.124,0.9916
1,clean_article1,0.0,0.968,0.032,0.1779
2,clean_article10,0.038,0.854,0.108,0.9979
3,clean_article11,0.026,0.854,0.12,0.9812
4,clean_article12,0.01,0.81,0.181,0.9993
5,clean_article13,0.028,0.839,0.132,0.9887
6,clean_article14,0.014,0.864,0.122,0.9925
7,clean_article15,0.017,0.901,0.082,0.9817
8,clean_article16,0.009,0.871,0.12,0.9995
9,clean_article2,0.061,0.774,0.165,0.9992
10,clean_article3,0.013,0.9,0.087,0.9767
11,clean_article4,0.031,0.893,0.076,0.886
12,clean_article5,0.0,1.0,0.0,0.0
13,clean_article6,0.015,0.852,0.133,0.93
14,clean_article7,0.0,0.942,0.058,0.2263
15,clean_article8,0.028,0.864,0.108,0.9749
16,clean_article9,0.099,0.823,0.079,-0.8652
