,name,neg,neu,pos,compound
0,clean_article0,0.07,0.877,0.052,-0.7543
1,clean_article1,0.011,0.893,0.096,0.9845
2,clean_article10,0.034,0.878,0.088,0.9776
3,clean_article11,0.014,0.872,0.114,0.9971
4,clean_article12,0.156,0.797,0.047,-0.9946
5,clean_article13,0.036,0.885,0.079,0.5859
6,clean_article14,0.067,0.897,0.036,-0.968
7,clean_article2,0.021,0.885,0.093,0.9705
8,clean_article3,0.047,0.884,0.069,0.8731
9,clean_article4,0.0,0.816,0.184,0.717
10,clean_article5,0.0,0.968,0.032,0.1779
11,clean_article6,0.0,0.816,0.184,0.717
12,clean_article7,0.05,0.766,0.184,0.6808
13,clean_article8,0.037,0.879,0.084,0.9877
14,clean_article9,0.037,0.842,0.121,0.9974
