,name,neg,neu,pos,compound
0,clean_article0,0.0,0.968,0.032,0.1779
1,clean_article1,0.013,0.856,0.13,0.9801
2,clean_article10,0.039,0.854,0.107,0.9412
3,clean_article11,0.033,0.884,0.083,0.978
4,clean_article12,0.018,0.931,0.052,0.9761
5,clean_article13,0.019,0.919,0.062,0.9963
6,clean_article14,0.042,0.865,0.093,0.802
7,clean_article15,0.043,0.838,0.119,0.9921
8,clean_article16,0.042,0.85,0.108,0.94
9,clean_article17,0.038,0.858,0.103,0.9993
10,clean_article18,0.0,0.865,0.135,0.9864
11,clean_article19,0.057,0.908,0.036,-0.569
12,clean_article2,0.009,0.903,0.088,0.9286
13,clean_article20,0.047,0.866,0.087,0.9876
14,clean_article21,0.004,0.897,0.099,0.9801
15,clean_article22,0.05,0.919,0.03,-0.7933
16,clean_article23,0.014,0.865,0.121,0.9945
17,clean_article24,0.064,0.803,0.133,0.991
18,clean_article25,0.011,0.875,0.114,0.9938
19,clean_article26,0.057,0.85,0.093,0.9863
20,clean_article27,0.0,0.923,0.077,0.9436
21,clean_article28,0.014,0.861,0.125,0.9903
22,clean_article29,0.045,0.841,0.114,0.9901
23,clean_article3,0.0,0.918,0.082,0.8316
24,clean_article30,0.05,0.862,0.088,0.8658
25,clean_article31,0.077,0.851,0.072,-0.893
26,clean_article32,0.101,0.804,0.096,-0.3224
27,clean_article33,0.051,0.882,0.067,0.5565
28,clean_article34,0.073,0.781,0.146,0.9874
29,clean_article35,0.005,0.91,0.085,0.9972
30,clean_article36,0.033,0.878,0.088,0.9636
31,clean_article37,0.008,0.831,0.161,0.9983
32,clean_article38,0.015,0.885,0.1,0.989
33,clean_article39,0.067,0.856,0.078,0.8909
34,clean_article4,0.057,0.786,0.156,0.9998
35,clean_article40,0.054,0.851,0.095,0.99
36,clean_article41,0.068,0.835,0.098,0.902
37,clean_article42,0.049,0.873,0.077,0.9669
38,clean_article43,0.151,0.719,0.13,-0.9676
39,clean_article44,0.012,0.868,0.12,0.9985
40,clean_article45,0.087,0.805,0.108,0.8576
41,clean_article46,0.006,0.872,0.122,0.9753
42,clean_article47,0.0,0.641,0.359,0.8122
43,clean_article48,0.033,0.869,0.099,0.9955
44,clean_article49,0.031,0.845,0.124,0.9992
45,clean_article5,0.086,0.785,0.129,0.9898
46,clean_article50,0.0,0.894,0.106,0.9287
47,clean_article51,0.074,0.845,0.08,0.2263
48,clean_article52,0.0,1.0,0.0,0.0
49,clean_article53,0.02,0.905,0.075,0.8496
50,clean_article54,0.0,0.968,0.032,0.1779
51,clean_article55,0.059,0.818,0.123,0.9842
52,clean_article56,0.076,0.858,0.066,-0.2462
53,clean_article57,0.072,0.865,0.063,-0.1316
54,clean_article58,0.074,0.825,0.1,0.9827
55,clean_article59,0.016,0.904,0.08,0.9678
56,clean_article6,0.084,0.824,0.092,-0.4589
57,clean_article60,0.019,0.92,0.061,0.8699
58,clean_article61,0.012,0.862,0.126,0.8804
59,clean_article62,0.0,0.641,0.359,0.8122
60,clean_article63,0.018,0.905,0.077,0.9808
61,clean_article64,0.0,0.661,0.339,0.9853
62,clean_article65,0.024,0.845,0.13,0.9968
63,clean_article66,0.018,0.899,0.083,0.9786
64,clean_article67,0.018,0.877,0.105,0.9954
65,clean_article68,0.02,0.931,0.048,0.7998
66,clean_article69,0.043,0.887,0.069,0.9066
67,clean_article7,0.021,0.818,0.161,0.998
68,clean_article70,0.026,0.852,0.122,0.9914
69,clean_article71,0.02,0.929,0.051,0.7496
70,clean_article72,0.023,0.862,0.116,0.9961
71,clean_article73,0.048,0.918,0.033,-0.4377
72,clean_article74,0.035,0.896,0.069,0.939
73,clean_article75,0.005,0.807,0.188,0.9972
74,clean_article76,0.012,0.932,0.056,0.9025
75,clean_article77,0.05,0.887,0.063,0.7987
76,clean_article78,0.077,0.806,0.117,0.8932
77,clean_article79,0.04,0.899,0.062,0.8989
78,clean_article8,0.05,0.853,0.096,0.9869
79,clean_article80,0.027,0.834,0.139,0.9954
80,clean_article81,0.0,0.831,0.169,0.9985
81,clean_article82,0.014,0.923,0.063,0.8481
82,clean_article83,0.047,0.925,0.028,-0.9186
83,clean_article84,0.104,0.782,0.114,0.7105
84,clean_article85,0.0,0.816,0.184,0.717
85,clean_article86,0.072,0.803,0.125,0.9962
86,clean_article9,0.012,0.9,0.088,0.9974
