,name,neg,neu,pos,compound
0,clean_article0,0.01,0.926,0.064,0.8807
1,clean_article1,0.0,0.641,0.359,0.8122
2,clean_article10,0.062,0.869,0.069,-0.0534
3,clean_article11,0.047,0.845,0.108,0.9826
4,clean_article12,0.072,0.894,0.033,-0.9187
5,clean_article13,0.0,0.0,0.0,0.0
6,clean_article14,0.056,0.824,0.121,0.9907
7,clean_article15,0.045,0.887,0.068,0.929
8,clean_article16,0.026,0.878,0.096,0.9705
9,clean_article17,0.036,0.864,0.101,0.999
10,clean_article18,0.033,0.901,0.066,0.9942
11,clean_article19,0.006,0.833,0.161,0.9904
12,clean_article2,0.022,0.88,0.098,0.9984
13,clean_article20,0.01,0.9,0.09,0.9932
14,clean_article21,0.024,0.892,0.084,0.9836
15,clean_article22,0.021,0.86,0.119,0.9946
16,clean_article23,0.0,0.968,0.032,0.1779
17,clean_article24,0.026,0.897,0.077,0.93
18,clean_article25,0.143,0.834,0.023,-0.9951
19,clean_article26,0.074,0.817,0.109,0.9893
20,clean_article27,0.019,0.862,0.119,0.9853
21,clean_article28,0.028,0.859,0.113,0.9956
22,clean_article29,0.0,0.935,0.065,0.8381
23,clean_article3,0.019,0.89,0.091,0.9932
24,clean_article30,0.06,0.92,0.021,-0.4588
25,clean_article31,0.026,0.85,0.125,0.9975
26,clean_article32,0.072,0.872,0.056,-0.9106
27,clean_article33,0.0,0.945,0.055,0.34
28,clean_article34,0.064,0.865,0.071,0.5197
29,clean_article35,0.043,0.856,0.102,0.954
30,clean_article36,0.012,0.901,0.087,0.9901
31,clean_article37,0.0,0.838,0.162,0.9981
32,clean_article38,0.023,0.924,0.052,0.7346
33,clean_article39,0.098,0.857,0.045,-0.8702
34,clean_article4,0.043,0.868,0.09,0.9929
35,clean_article40,0.024,0.903,0.074,0.9403
36,clean_article41,0.067,0.843,0.089,0.839
37,clean_article42,0.083,0.834,0.082,-0.0145
38,clean_article43,0.024,0.86,0.116,0.9928
39,clean_article44,0.037,0.853,0.109,0.9906
40,clean_article45,0.061,0.821,0.118,0.9814
41,clean_article46,0.068,0.83,0.102,0.9085
42,clean_article47,0.083,0.762,0.154,0.8599
43,clean_article48,0.035,0.887,0.078,0.9442
44,clean_article49,0.047,0.839,0.114,0.9243
45,clean_article5,0.055,0.875,0.07,0.7534
46,clean_article50,0.055,0.867,0.078,0.9723
47,clean_article51,0.072,0.856,0.072,-0.8561
48,clean_article52,0.155,0.795,0.051,-0.9879
49,clean_article53,0.027,0.91,0.063,0.8402
50,clean_article54,0.092,0.821,0.087,-0.8141
51,clean_article55,0.052,0.886,0.062,0.2263
52,clean_article56,0.0,1.0,0.0,0.0
53,clean_article57,0.03,0.89,0.08,0.9777
54,clean_article58,0.081,0.778,0.141,0.9986
55,clean_article59,0.042,0.868,0.09,0.9831
56,clean_article6,0.061,0.789,0.15,0.9987
57,clean_article60,0.028,0.879,0.093,0.9806
58,clean_article61,0.02,0.904,0.076,0.9737
59,clean_article62,0.041,0.792,0.167,0.9966
60,clean_article63,0.096,0.827,0.077,-0.9889
61,clean_article64,0.044,0.871,0.085,0.9969
62,clean_article65,0.046,0.912,0.042,-0.1742
63,clean_article66,0.07,0.874,0.056,-0.0129
64,clean_article67,0.03,0.865,0.105,0.9684
65,clean_article68,0.063,0.769,0.168,0.9935
66,clean_article69,0.012,0.88,0.107,0.9777
67,clean_article7,0.068,0.932,0.0,-0.2732
68,clean_article70,0.051,0.852,0.097,0.9066
69,clean_article71,0.086,0.823,0.091,0.5719
70,clean_article72,0.031,0.887,0.082,0.9478
71,clean_article73,0.012,0.925,0.063,0.9912
72,clean_article74,0.077,0.833,0.089,0.5859
73,clean_article75,0.021,0.932,0.047,0.5106
74,clean_article76,0.043,0.817,0.14,0.9963
75,clean_article77,0.024,0.976,0.0,-0.3818
76,clean_article78,0.024,0.875,0.1,0.986
77,clean_article8,0.0,0.855,0.145,0.5563
78,clean_article9,0.0,0.816,0.184,0.717
