,name,neg,neu,pos,compound
0,clean_article0,0.0,0.968,0.032,0.1779
1,clean_article1,0.02,0.791,0.19,0.9991
2,clean_article10,0.042,0.896,0.061,0.926
3,clean_article11,0.033,0.848,0.119,0.9992
4,clean_article12,0.043,0.883,0.074,0.9721
5,clean_article13,0.011,0.882,0.107,0.9973
6,clean_article14,0.0,0.816,0.184,0.717
7,clean_article15,0.018,0.865,0.118,0.9953
8,clean_article16,0.024,0.846,0.129,0.9964
9,clean_article17,0.0,0.0,0.0,0.0
10,clean_article18,0.0,0.816,0.184,0.717
11,clean_article19,0.029,0.893,0.078,0.9807
12,clean_article2,0.0,0.816,0.184,0.717
13,clean_article20,0.056,0.905,0.039,-0.6245
14,clean_article21,0.0,0.816,0.184,0.717
15,clean_article22,0.024,0.922,0.053,0.8158
16,clean_article23,0.036,0.856,0.108,0.9672
17,clean_article24,0.019,0.897,0.084,0.9741
18,clean_article25,0.057,0.787,0.157,0.9971
19,clean_article26,0.124,0.766,0.11,-0.9649
20,clean_article27,0.071,0.834,0.095,0.6757
21,clean_article28,0.038,0.867,0.095,0.9501
22,clean_article29,0.023,0.894,0.084,0.9501
23,clean_article3,0.004,0.899,0.097,0.9839
24,clean_article30,0.047,0.858,0.095,0.9633
25,clean_article31,0.061,0.815,0.124,0.9979
26,clean_article32,0.044,0.812,0.144,0.9993
27,clean_article33,0.029,0.875,0.096,0.992
28,clean_article34,0.079,0.765,0.156,0.9968
29,clean_article35,0.03,0.82,0.15,0.9849
30,clean_article36,0.024,0.861,0.115,0.9999
31,clean_article37,0.045,0.794,0.161,0.9965
32,clean_article38,0.053,0.81,0.137,0.9949
33,clean_article39,0.024,0.895,0.081,0.9669
34,clean_article4,0.016,0.923,0.062,0.9814
35,clean_article40,0.115,0.774,0.111,-0.5574
36,clean_article41,0.016,0.872,0.112,0.9908
37,clean_article42,0.046,0.863,0.091,0.9626
38,clean_article43,0.023,0.881,0.096,0.9442
39,clean_article44,0.025,0.923,0.053,0.9337
40,clean_article45,0.032,0.862,0.106,0.9908
41,clean_article46,0.055,0.858,0.087,0.9455
42,clean_article47,0.032,0.858,0.11,0.9995
43,clean_article48,0.026,0.908,0.066,0.9583
44,clean_article49,0.006,0.862,0.132,0.9969
45,clean_article5,0.012,0.886,0.101,0.9995
46,clean_article50,0.024,0.885,0.091,0.864
47,clean_article51,0.011,0.88,0.109,0.9879
48,clean_article52,0.013,0.925,0.062,0.9821
49,clean_article53,0.027,0.853,0.12,0.9972
50,clean_article54,0.028,0.884,0.088,0.9947
51,clean_article55,0.04,0.889,0.072,0.9779
52,clean_article56,0.023,0.903,0.073,0.9524
53,clean_article57,0.042,0.917,0.04,-0.1238
54,clean_article58,0.054,0.839,0.107,0.9419
55,clean_article59,0.042,0.858,0.1,0.999
56,clean_article6,0.033,0.874,0.093,0.9978
57,clean_article60,0.0,1.0,0.0,0.0
58,clean_article61,0.077,0.844,0.079,0.4125
59,clean_article62,0.076,0.858,0.066,-0.2462
60,clean_article63,0.005,0.849,0.146,0.9984
61,clean_article64,0.07,0.814,0.116,0.9766
62,clean_article65,0.062,0.844,0.094,0.9701
63,clean_article66,0.017,0.874,0.109,0.9955
64,clean_article67,0.035,0.867,0.099,0.993
65,clean_article68,0.06,0.807,0.133,0.9982
66,clean_article69,0.034,0.808,0.158,0.9984
67,clean_article7,0.0,0.968,0.032,0.1779
68,clean_article70,0.026,0.899,0.075,0.9851
69,clean_article71,0.053,0.84,0.108,0.9812
70,clean_article72,0.113,0.872,0.015,-0.9758
71,clean_article73,0.095,0.782,0.122,0.3612
72,clean_article74,0.062,0.892,0.046,-0.8969
73,clean_article75,0.125,0.784,0.091,-0.9723
74,clean_article76,0.02,0.828,0.152,0.9997
75,clean_article77,0.081,0.785,0.134,0.9852
76,clean_article78,0.034,0.87,0.096,0.9801
77,clean_article79,0.016,0.89,0.095,0.9855
78,clean_article8,0.038,0.858,0.104,0.9772
79,clean_article80,0.097,0.855,0.048,-0.6956
80,clean_article81,0.0,0.931,0.069,0.743
81,clean_article82,0.027,0.855,0.119,0.9871
82,clean_article83,0.041,0.922,0.037,-0.7672
83,clean_article84,0.029,0.895,0.077,0.9981
84,clean_article85,0.016,0.867,0.117,0.9978
85,clean_article86,0.01,0.852,0.138,0.9982
86,clean_article87,0.025,0.871,0.104,0.9892
87,clean_article88,0.006,0.923,0.07,0.9509
88,clean_article89,0.011,0.894,0.094,0.9938
89,clean_article9,0.0,1.0,0.0,0.0
90,clean_article90,0.049,0.818,0.133,0.9987
91,clean_article91,0.073,0.787,0.14,0.9987
92,clean_article92,0.041,0.9,0.06,0.8369
93,clean_article93,0.016,0.841,0.144,0.9929
