,name,neg,neu,pos,compound
0,clean_article0,0.035,0.888,0.077,0.8722
1,clean_article1,0.027,0.844,0.129,0.9976
2,clean_article10,0.038,0.903,0.059,0.9214
3,clean_article11,0.0,0.941,0.059,0.8807
4,clean_article12,0.115,0.785,0.1,-0.9664
5,clean_article13,0.0,0.816,0.184,0.717
6,clean_article14,0.009,0.898,0.092,0.9871
7,clean_article15,0.068,0.932,0.0,-0.2732
8,clean_article16,0.035,0.86,0.105,0.9957
9,clean_article17,0.015,0.888,0.097,0.9673
10,clean_article18,0.0,0.816,0.184,0.717
11,clean_article19,0.0,0.891,0.109,0.9565
12,clean_article2,0.089,0.83,0.082,-0.6705
13,clean_article20,0.0,0.896,0.104,0.4939
14,clean_article21,0.04,0.851,0.109,0.9973
15,clean_article22,0.017,0.938,0.045,0.8984
16,clean_article23,0.079,0.818,0.103,0.9711
17,clean_article24,0.064,0.843,0.093,0.9974
18,clean_article25,0.105,0.825,0.07,-0.9714
19,clean_article26,0.074,0.842,0.084,0.4854
20,clean_article27,0.098,0.788,0.114,0.9261
21,clean_article28,0.08,0.92,0.0,-0.4019
22,clean_article29,0.0,0.816,0.184,0.717
23,clean_article3,0.0,0.968,0.032,0.1779
24,clean_article30,0.051,0.792,0.158,0.9985
25,clean_article31,0.074,0.843,0.083,0.4754
26,clean_article32,0.024,0.882,0.093,0.9865
27,clean_article33,0.024,0.934,0.042,0.5844
28,clean_article34,0.015,0.892,0.093,0.8442
29,clean_article35,0.057,0.831,0.112,0.9451
30,clean_article36,0.0,1.0,0.0,0.0
31,clean_article37,0.071,0.809,0.12,0.9915
32,clean_article38,0.0,0.858,0.142,0.9882
33,clean_article39,0.067,0.851,0.082,0.2249
34,clean_article4,0.079,0.839,0.082,-0.1045
35,clean_article40,0.057,0.829,0.114,0.9993
36,clean_article41,0.0,1.0,0.0,0.0
37,clean_article42,0.026,0.874,0.1,0.9916
38,clean_article43,0.075,0.872,0.053,-0.9479
39,clean_article44,0.056,0.758,0.187,0.997
40,clean_article45,0.012,0.862,0.127,0.9962
41,clean_article46,0.084,0.829,0.087,-0.1625
42,clean_article47,0.022,0.844,0.134,0.9984
43,clean_article48,0.076,0.825,0.099,0.961
44,clean_article49,0.038,0.911,0.051,0.25
45,clean_article5,0.04,0.918,0.042,-0.3649
46,clean_article50,0.04,0.842,0.118,0.9948
47,clean_article51,0.029,0.77,0.201,0.9993
48,clean_article52,0.051,0.781,0.168,0.998
49,clean_article53,0.066,0.855,0.079,0.8111
50,clean_article54,0.0,0.816,0.184,0.717
51,clean_article55,0.0,0.641,0.359,0.8122
52,clean_article56,0.017,0.938,0.045,0.8294
53,clean_article57,0.02,0.98,0.0,-0.4748
54,clean_article58,0.038,0.865,0.097,0.9615
55,clean_article59,0.026,0.86,0.114,0.986
56,clean_article6,0.0,0.968,0.032,0.1779
57,clean_article60,0.018,0.892,0.09,0.9349
58,clean_article61,0.032,0.916,0.052,0.8042
59,clean_article62,0.019,0.829,0.152,0.999
60,clean_article63,0.028,0.876,0.096,0.9834
61,clean_article64,0.075,0.85,0.075,0.032
62,clean_article65,0.069,0.832,0.1,0.9896
63,clean_article66,0.08,0.829,0.091,0.6192
64,clean_article67,0.015,0.874,0.11,0.9894
65,clean_article68,0.0,0.865,0.135,0.9442
66,clean_article69,0.036,0.911,0.054,0.846
67,clean_article7,0.048,0.891,0.061,0.8176
68,clean_article70,0.066,0.84,0.094,0.9744
69,clean_article71,0.004,0.918,0.078,0.9872
70,clean_article72,0.052,0.839,0.11,0.9899
71,clean_article73,0.051,0.885,0.063,0.4774
72,clean_article74,0.006,0.939,0.055,0.9423
73,clean_article75,0.055,0.862,0.083,0.9896
74,clean_article76,0.041,0.865,0.094,0.9924
75,clean_article77,0.052,0.878,0.069,0.1727
76,clean_article78,0.13,0.811,0.059,-0.9577
77,clean_article79,0.037,0.88,0.084,0.9777
78,clean_article8,0.0,0.968,0.032,0.1779
79,clean_article80,0.024,0.806,0.17,0.9935
80,clean_article81,0.026,0.892,0.082,0.5423
81,clean_article82,0.063,0.811,0.126,0.9998
82,clean_article83,0.126,0.839,0.035,-0.9878
83,clean_article84,0.018,0.872,0.11,0.9989
84,clean_article85,0.039,0.852,0.108,0.9951
85,clean_article86,0.004,0.886,0.11,0.9878
86,clean_article87,0.038,0.899,0.063,0.9635
87,clean_article88,0.076,0.8,0.124,0.975
88,clean_article89,0.021,0.946,0.033,0.3384
89,clean_article9,0.032,0.871,0.097,0.933
90,clean_article90,0.027,0.831,0.143,0.9979
