,name,neg,neu,pos,compound
0,clean_article0,0.08,0.786,0.133,0.9941
1,clean_article1,0.0,0.876,0.124,0.34
2,clean_article10,0.044,0.859,0.096,0.9932
3,clean_article11,0.043,0.838,0.119,0.9986
4,clean_article12,0.061,0.871,0.068,0.5233
5,clean_article13,0.028,0.855,0.117,0.9967
6,clean_article14,0.027,0.9,0.074,0.9711
7,clean_article15,0.026,0.864,0.11,0.9875
8,clean_article16,0.029,0.897,0.074,0.9801
9,clean_article17,0.041,0.887,0.072,0.905
10,clean_article18,0.026,0.865,0.109,0.9628
11,clean_article19,0.018,0.803,0.179,0.9994
12,clean_article2,0.0,0.816,0.184,0.717
13,clean_article3,0.0,0.816,0.184,0.717
14,clean_article4,0.103,0.764,0.133,0.296
15,clean_article5,0.019,0.951,0.03,0.296
16,clean_article6,0.052,0.832,0.116,0.9931
17,clean_article7,0.033,0.932,0.035,0.1904
18,clean_article8,0.017,0.891,0.092,0.9932
19,clean_article9,0.0,0.641,0.359,0.8122
