,name,neg,neu,pos,compound
0,clean_article0,0.059,0.887,0.053,-0.3985
1,clean_article1,0.058,0.876,0.067,0.6245
2,clean_article10,0.054,0.902,0.043,-0.8784
3,clean_article11,0.0,0.956,0.044,0.7964
4,clean_article12,0.069,0.812,0.119,0.9297
5,clean_article2,0.099,0.796,0.105,0.838
6,clean_article3,0.061,0.883,0.056,-0.3612
7,clean_article4,0.031,0.88,0.089,0.9209
8,clean_article5,0.0,0.641,0.359,0.8122
9,clean_article6,0.0,0.816,0.184,0.717
10,clean_article7,0.08,0.821,0.099,0.8337
11,clean_article8,0.044,0.926,0.031,-0.5994
12,clean_article9,0.057,0.861,0.083,0.9816
