,name,neg,neu,pos,compound
0,clean_article0,0.012,0.855,0.133,0.9716
1,clean_article1,0.064,0.889,0.047,-0.7994
2,clean_article10,0.0,0.816,0.184,0.717
3,clean_article11,0.04,0.897,0.063,0.4588
4,clean_article12,0.032,0.897,0.072,0.8074
5,clean_article13,0.031,0.804,0.165,0.9994
6,clean_article14,0.022,0.843,0.136,0.9986
7,clean_article15,0.036,0.871,0.093,0.9956
8,clean_article16,0.023,0.805,0.171,0.9828
9,clean_article17,0.044,0.835,0.121,0.7908
10,clean_article18,0.021,0.816,0.163,0.8316
11,clean_article19,0.05,0.81,0.14,0.9958
12,clean_article2,0.033,0.897,0.07,0.9134
13,clean_article20,0.062,0.851,0.087,0.2118
14,clean_article21,0.071,0.845,0.084,0.5692
15,clean_article22,0.0,0.919,0.081,0.9432
16,clean_article23,0.055,0.885,0.06,0.0198
17,clean_article24,0.059,0.862,0.079,0.9274
18,clean_article25,0.022,0.887,0.091,0.9956
19,clean_article26,0.036,0.803,0.161,0.8294
20,clean_article27,0.027,0.886,0.087,0.9909
21,clean_article28,0.075,0.839,0.086,0.6994
22,clean_article29,0.0,0.816,0.184,0.717
23,clean_article3,0.021,0.857,0.122,0.9864
24,clean_article30,0.016,0.892,0.091,0.9991
25,clean_article31,0.024,0.897,0.079,0.997
26,clean_article32,0.0,0.641,0.359,0.8122
27,clean_article33,0.034,0.85,0.116,0.9865
28,clean_article34,0.027,0.89,0.084,0.9899
29,clean_article35,0.0,0.903,0.097,0.6908
30,clean_article36,0.058,0.785,0.156,0.999
31,clean_article37,0.02,0.896,0.084,0.9825
32,clean_article38,0.022,0.904,0.074,0.939
33,clean_article39,0.122,0.754,0.125,-0.2263
34,clean_article4,0.015,0.845,0.14,0.9907
35,clean_article40,0.027,0.849,0.124,0.9931
36,clean_article41,0.043,0.902,0.055,0.5413
37,clean_article42,0.124,0.77,0.106,-0.8616
38,clean_article43,0.041,0.881,0.078,0.8831
39,clean_article44,0.023,0.902,0.075,0.889
40,clean_article45,0.08,0.846,0.074,-0.8137
41,clean_article46,0.032,0.893,0.075,0.8408
42,clean_article47,0.068,0.932,0.0,-0.2732
43,clean_article48,0.097,0.844,0.059,-0.9464
44,clean_article49,0.103,0.835,0.061,-0.6249
45,clean_article5,0.0,0.816,0.184,0.717
46,clean_article50,0.052,0.868,0.08,0.9561
47,clean_article51,0.016,0.895,0.089,0.978
48,clean_article52,0.026,0.897,0.076,0.9639
49,clean_article53,0.02,0.914,0.066,0.9081
50,clean_article54,0.03,0.881,0.089,0.8593
51,clean_article55,0.005,0.904,0.091,0.9697
52,clean_article56,0.041,0.889,0.07,0.9347
53,clean_article57,0.0,1.0,0.0,0.0
54,clean_article58,0.093,0.804,0.103,0.0867
55,clean_article59,0.049,0.886,0.065,0.5035
56,clean_article6,0.0,0.968,0.032,0.1779
57,clean_article60,0.013,0.945,0.043,0.8422
58,clean_article61,0.017,0.949,0.034,0.6597
59,clean_article62,0.0,0.89,0.11,0.9784
60,clean_article63,0.086,0.875,0.039,-0.8074
61,clean_article64,0.048,0.791,0.162,0.9991
62,clean_article65,0.041,0.885,0.075,0.9343
63,clean_article66,0.0,0.931,0.069,0.9477
64,clean_article67,0.041,0.869,0.09,0.9944
65,clean_article68,0.005,0.874,0.121,0.9936
66,clean_article69,0.062,0.86,0.079,-0.0376
67,clean_article7,0.011,0.889,0.1,0.891
68,clean_article70,0.035,0.835,0.13,0.9756
69,clean_article71,0.066,0.792,0.142,0.9934
70,clean_article72,0.051,0.833,0.115,0.9246
71,clean_article73,0.043,0.846,0.111,0.9923
72,clean_article74,0.05,0.91,0.04,-0.7352
73,clean_article75,0.075,0.876,0.049,-0.8496
74,clean_article76,0.046,0.842,0.112,0.9967
75,clean_article77,0.012,0.931,0.058,0.9719
76,clean_article78,0.04,0.865,0.094,0.9743
77,clean_article79,0.038,0.913,0.048,0.4939
78,clean_article8,0.027,0.887,0.086,0.9847
79,clean_article80,0.013,0.914,0.073,0.981
80,clean_article81,0.02,0.906,0.075,0.9728
81,clean_article82,0.04,0.883,0.077,0.6369
82,clean_article83,0.025,0.788,0.188,0.9993
83,clean_article84,0.021,0.809,0.17,0.9986
84,clean_article85,0.038,0.826,0.136,0.9995
85,clean_article86,0.078,0.844,0.077,-0.34
86,clean_article87,0.0,0.0,0.0,0.0
87,clean_article88,0.067,0.811,0.122,0.9963
88,clean_article89,0.067,0.811,0.122,0.9963
89,clean_article9,0.017,0.872,0.111,0.995
