,Date,BTC
116,2021-04-27T00:00:00Z,785758.33208366
117,2021-04-28T00:00:00Z,787772.01052400
118,2021-04-29T00:00:00Z,763484.87478641
119,2021-04-30T00:00:00Z,826223.24296610
120,2021-05-01T00:00:00Z,838272.64914470
121,2021-05-02T00:00:00Z,821402.50222023
122,2021-05-03T00:00:00Z,829411.78274341
123,2021-05-04T00:00:00Z,769224.79091320
124,2021-05-05T00:00:00Z,831945.96225587
125,2021-05-06T00:00:00Z,810318.84153559
126,2021-05-07T00:00:00Z,813900.84283392
127,2021-05-08T00:00:00Z,830519.92410649
128,2021-05-09T00:00:00Z,819709.95186250
129,2021-05-10T00:00:00Z,789239.48475611
130,2021-05-11T00:00:00Z,796639.20918077
131,2021-05-12T00:00:00Z,701416.24737598
132,2021-05-13T00:00:00Z,702936.14375205
133,2021-05-14T00:00:00Z,707410.58948241
134,2021-05-15T00:00:00Z,665142.85268944
135,2021-05-16T00:00:00Z,659355.41053513
136,2021-05-17T00:00:00Z,646939.68938956
137,2021-05-18T00:00:00Z,626985.55648127
138,2021-05-19T00:00:00Z,598590.31606481
139,2021-05-20T00:00:00Z,507419.11276190
140,2021-05-21T00:00:00Z,585778.89029212
141,2021-05-22T00:00:00Z,528153.48647260
142,2021-05-23T00:00:00Z,535089.24057325
143,2021-05-24T00:00:00Z,493148.88395587
144,2021-05-25T00:00:00Z,550559.73302041
145,2021-05-26T00:00:00Z,529672.76387823
146,2021-05-27T00:00:00Z,532750.14054527
147,2021-05-28T00:00:00Z,524149.07602587
148,2021-05-29T00:00:00Z,500601.20779262
149,2021-05-30T00:00:00Z,467833.33539894
150,2021-05-31T00:00:00Z,487919.18797894
151,2021-06-01T00:00:00Z,519047.92789253
152,2021-06-02T00:00:00Z,498498.23034452
153,2021-06-03T00:00:00Z,507972.04708465
154,2021-06-04T00:00:00Z,527505.80449514
155,2021-06-05T00:00:00Z,506420.77483292
156,2021-06-06T00:00:00Z,478901.32286098
157,2021-06-07T00:00:00Z,487622.69150652
158,2021-06-08T00:00:00Z,456437.41010061
