,name,neg,neu,pos,compound
0,clean_article0,0.073,0.819,0.108,0.9325
1,clean_article1,0.036,0.907,0.057,0.7814
2,clean_article10,0.042,0.845,0.113,0.9964
3,clean_article11,0.053,0.877,0.07,0.8867
4,clean_article12,0.043,0.882,0.074,0.9274
5,clean_article13,0.0,0.816,0.184,0.717
6,clean_article2,0.0,0.968,0.032,0.1779
7,clean_article3,0.035,0.889,0.076,0.9062
8,clean_article4,0.018,0.922,0.06,0.9563
9,clean_article5,0.084,0.799,0.117,0.946
10,clean_article6,0.086,0.815,0.098,0.7845
11,clean_article7,0.059,0.875,0.066,0.0516
12,clean_article8,0.037,0.838,0.125,0.9981
13,clean_article9,0.049,0.885,0.066,0.6712
