,name,neg,neu,pos,compound
0,clean_article0,0.042,0.856,0.101,0.991
1,clean_article1,0.064,0.856,0.08,0.576
2,clean_article10,0.031,0.81,0.159,0.9992
3,clean_article11,0.038,0.839,0.123,0.9763
4,clean_article12,0.012,0.945,0.043,0.7684
5,clean_article13,0.023,0.889,0.088,0.9922
6,clean_article14,0.007,0.875,0.118,0.9835
7,clean_article15,0.031,0.833,0.136,0.9962
8,clean_article2,0.082,0.801,0.117,0.9912
9,clean_article3,0.028,0.884,0.088,0.9783
10,clean_article4,0.026,0.86,0.113,0.9682
11,clean_article5,0.028,0.905,0.067,0.9824
12,clean_article6,0.032,0.859,0.109,0.9313
13,clean_article7,0.041,0.863,0.096,0.9924
14,clean_article8,0.017,0.856,0.127,0.9998
15,clean_article9,0.064,0.878,0.058,-0.25
