,name,neg,neu,pos,compound
0,clean_article0,0.014,0.852,0.134,0.9942
1,clean_article1,0.014,0.924,0.061,0.952
2,clean_article10,0.027,0.909,0.064,0.9389
3,clean_article11,0.014,0.91,0.077,0.9909
4,clean_article12,0.028,0.868,0.104,0.989
5,clean_article13,0.054,0.886,0.06,-0.2404
6,clean_article14,0.075,0.757,0.168,0.9128
7,clean_article15,0.0,0.816,0.184,0.717
8,clean_article16,0.024,0.935,0.041,0.8763
9,clean_article17,0.064,0.844,0.092,0.9721
10,clean_article18,0.0,0.968,0.032,0.1779
11,clean_article19,0.0,0.816,0.184,0.717
12,clean_article2,0.0,0.816,0.184,0.717
13,clean_article20,0.04,0.77,0.19,0.9992
14,clean_article21,0.05,0.766,0.184,0.6808
15,clean_article22,0.018,0.856,0.126,0.9865
16,clean_article23,0.068,0.771,0.162,0.9973
17,clean_article24,0.034,0.912,0.053,0.046
18,clean_article25,0.068,0.932,0.0,-0.2732
19,clean_article26,0.022,0.904,0.075,0.8093
20,clean_article27,0.057,0.849,0.094,0.9707
21,clean_article28,0.016,0.859,0.125,0.9833
22,clean_article29,0.021,0.879,0.1,0.9726
23,clean_article3,0.0,0.816,0.184,0.717
24,clean_article30,0.0,0.918,0.082,0.8553
25,clean_article31,0.011,0.92,0.069,0.9724
26,clean_article32,0.006,0.868,0.126,0.9815
27,clean_article33,0.045,0.844,0.111,0.9963
28,clean_article34,0.04,0.873,0.086,0.9903
29,clean_article35,0.015,0.887,0.098,0.9633
30,clean_article36,0.016,0.898,0.086,0.9939
31,clean_article37,0.031,0.895,0.074,0.923
32,clean_article38,0.045,0.904,0.051,0.0822
33,clean_article39,0.007,0.85,0.143,0.9862
34,clean_article4,0.0,0.641,0.359,0.8122
35,clean_article40,0.011,0.92,0.07,0.9576
36,clean_article41,0.054,0.86,0.087,0.8334
37,clean_article42,0.076,0.86,0.065,-0.6399
38,clean_article43,0.008,0.879,0.113,0.9962
39,clean_article44,0.09,0.803,0.107,0.7184
40,clean_article45,0.016,0.855,0.13,0.9969
41,clean_article46,0.206,0.788,0.007,-0.981
42,clean_article47,0.07,0.822,0.108,0.9644
43,clean_article48,0.017,0.831,0.151,0.9337
44,clean_article49,0.036,0.845,0.119,0.9899
45,clean_article5,0.057,0.846,0.097,0.9928
46,clean_article50,0.005,0.879,0.116,0.9815
47,clean_article51,0.027,0.867,0.106,0.9975
48,clean_article52,0.1,0.832,0.068,-0.9322
49,clean_article53,0.029,0.896,0.075,0.9987
50,clean_article54,0.026,0.882,0.091,0.9936
51,clean_article55,0.052,0.864,0.084,0.9145
52,clean_article56,0.025,0.877,0.098,0.965
53,clean_article57,0.006,0.927,0.067,0.9761
54,clean_article58,0.016,0.894,0.089,0.99
55,clean_article59,0.068,0.818,0.115,0.9989
56,clean_article6,0.0,0.968,0.032,0.1779
57,clean_article60,0.059,0.805,0.136,0.9588
58,clean_article61,0.008,0.806,0.187,0.9907
59,clean_article62,0.025,0.871,0.104,0.9684
60,clean_article63,0.0,0.925,0.075,0.9559
61,clean_article64,0.078,0.816,0.106,0.964
62,clean_article65,0.053,0.836,0.111,0.802
63,clean_article66,0.064,0.855,0.081,0.3049
64,clean_article67,0.064,0.863,0.073,0.7269
65,clean_article68,0.041,0.883,0.076,0.8707
66,clean_article69,0.026,0.866,0.107,0.9988
67,clean_article7,0.0,0.816,0.184,0.717
68,clean_article70,0.062,0.854,0.084,0.7964
69,clean_article71,0.017,0.877,0.106,0.9942
70,clean_article72,0.062,0.874,0.065,-0.7695
71,clean_article73,0.0,0.891,0.109,0.6124
72,clean_article74,0.076,0.858,0.066,-0.2462
73,clean_article75,0.0,1.0,0.0,0.0
74,clean_article76,0.032,0.801,0.167,0.8885
75,clean_article77,0.0,0.957,0.043,0.8402
76,clean_article78,0.046,0.779,0.176,0.9982
77,clean_article79,0.139,0.838,0.023,-0.9795
78,clean_article8,0.0,0.816,0.184,0.717
79,clean_article80,0.019,0.843,0.138,0.9863
80,clean_article81,0.0,0.816,0.184,0.717
81,clean_article82,0.047,0.858,0.095,0.9085
82,clean_article83,0.025,0.913,0.062,0.9201
83,clean_article9,0.041,0.857,0.102,0.9979
