,name,neg,neu,pos,compound
0,clean_article0,0.051,0.901,0.047,-0.4374
1,clean_article1,0.006,0.91,0.085,0.9648
2,clean_article10,0.032,0.899,0.069,0.9911
3,clean_article11,0.0,0.816,0.184,0.717
4,clean_article12,0.047,0.887,0.067,0.827
5,clean_article13,0.078,0.834,0.088,-0.1417
6,clean_article14,0.083,0.851,0.066,-0.5017
7,clean_article15,0.0,0.816,0.184,0.717
8,clean_article16,0.0,0.641,0.359,0.8122
9,clean_article17,0.103,0.764,0.133,0.296
10,clean_article18,0.122,0.754,0.125,-0.2263
11,clean_article19,0.0,0.641,0.359,0.8122
12,clean_article2,0.0,0.816,0.184,0.717
13,clean_article20,0.022,0.84,0.137,0.9839
14,clean_article21,0.036,0.84,0.125,0.9994
15,clean_article22,0.0,1.0,0.0,0.0
16,clean_article23,0.007,0.893,0.1,0.999
17,clean_article24,0.04,0.774,0.186,0.9982
18,clean_article25,0.111,0.823,0.066,-0.2732
19,clean_article26,0.011,0.884,0.106,0.9967
20,clean_article27,0.032,0.864,0.105,0.9993
21,clean_article28,0.026,0.787,0.187,0.9991
22,clean_article29,0.049,0.874,0.076,0.8417
23,clean_article3,0.0,0.816,0.184,0.717
24,clean_article30,0.113,0.803,0.084,-0.9949
25,clean_article31,0.029,0.884,0.087,0.9746
26,clean_article32,0.035,0.869,0.095,0.875
27,clean_article33,0.007,0.899,0.093,0.9769
28,clean_article34,0.0,0.816,0.184,0.717
29,clean_article35,0.066,0.844,0.089,0.7717
30,clean_article36,0.083,0.868,0.049,-0.9337
31,clean_article37,0.059,0.801,0.14,0.9936
32,clean_article38,0.06,0.87,0.07,0.1999
33,clean_article39,0.015,0.801,0.184,0.9955
34,clean_article4,0.0,0.917,0.083,0.9056
35,clean_article40,0.074,0.849,0.077,-0.2527
36,clean_article41,0.052,0.843,0.106,0.9993
37,clean_article42,0.06,0.863,0.076,0.8975
38,clean_article43,0.015,0.937,0.048,0.7461
39,clean_article44,0.062,0.837,0.101,0.7949
40,clean_article45,0.064,0.828,0.108,0.9901
41,clean_article46,0.037,0.906,0.057,0.8779
42,clean_article47,0.033,0.884,0.083,0.969
43,clean_article48,0.086,0.791,0.123,0.9967
44,clean_article49,0.081,0.795,0.124,0.9942
45,clean_article5,0.039,0.905,0.056,0.2023
46,clean_article50,0.1,0.799,0.101,-0.9342
47,clean_article51,0.076,0.858,0.066,-0.2462
48,clean_article52,0.142,0.804,0.054,-0.9959
49,clean_article53,0.094,0.835,0.071,-0.6887
50,clean_article54,0.079,0.81,0.111,0.9707
51,clean_article55,0.012,0.846,0.142,0.9981
52,clean_article56,0.014,0.871,0.115,0.974
53,clean_article57,0.035,0.833,0.131,0.9945
54,clean_article58,0.064,0.891,0.044,-0.9106
55,clean_article59,0.05,0.877,0.074,0.8625
56,clean_article6,0.009,0.875,0.117,0.987
57,clean_article60,0.073,0.833,0.094,0.8902
58,clean_article61,0.053,0.81,0.137,0.9712
59,clean_article62,0.0,0.877,0.123,0.9873
60,clean_article63,0.005,0.899,0.096,0.9835
61,clean_article64,0.128,0.781,0.091,-0.4738
62,clean_article65,0.055,0.848,0.096,0.9624
63,clean_article66,0.034,0.827,0.139,0.9156
64,clean_article67,0.013,0.875,0.112,0.9966
65,clean_article68,0.026,0.853,0.12,0.9959
66,clean_article69,0.215,0.714,0.071,-0.9552
67,clean_article7,0.014,0.736,0.25,0.9676
68,clean_article70,0.239,0.7,0.061,-0.9997
69,clean_article8,0.043,0.92,0.036,-0.7193
70,clean_article9,0.0,0.641,0.359,0.8122
