,name,neg,neu,pos,compound
0,clean_article0,0.051,0.865,0.084,0.7841
1,clean_article1,0.16,0.84,0.0,-0.802
2,clean_article10,0.116,0.841,0.044,-0.9923
3,clean_article11,0.004,0.858,0.138,0.9928
4,clean_article12,0.097,0.824,0.079,-0.9177
5,clean_article13,0.11,0.84,0.05,-0.2076
6,clean_article14,0.0,0.641,0.359,0.8122
7,clean_article15,0.03,0.904,0.066,0.7184
8,clean_article16,0.04,0.854,0.105,0.9755
9,clean_article17,0.049,0.875,0.076,0.9671
10,clean_article18,0.092,0.843,0.065,-0.9494
11,clean_article19,0.011,0.903,0.086,0.9719
12,clean_article2,0.07,0.838,0.092,0.7823
13,clean_article20,0.026,0.856,0.119,0.9741
14,clean_article21,0.074,0.738,0.188,0.5423
15,clean_article22,0.019,0.928,0.053,0.93
16,clean_article23,0.0,0.915,0.085,0.9735
17,clean_article24,0.023,0.901,0.076,0.9916
18,clean_article25,0.007,0.869,0.124,0.9992
19,clean_article26,0.003,0.838,0.159,0.9988
20,clean_article27,0.015,0.851,0.134,0.9848
21,clean_article28,0.073,0.818,0.109,0.9808
22,clean_article29,0.033,0.857,0.11,0.9889
23,clean_article3,0.08,0.755,0.166,0.9979
24,clean_article30,0.044,0.868,0.088,0.9949
25,clean_article31,0.022,0.848,0.13,0.9821
26,clean_article32,0.049,0.894,0.057,0.7537
27,clean_article33,0.057,0.847,0.096,0.9965
28,clean_article34,0.0,0.816,0.184,0.717
29,clean_article35,0.077,0.862,0.061,-0.697
30,clean_article36,0.057,0.886,0.057,-0.25
31,clean_article37,0.0,0.923,0.077,0.7351
32,clean_article38,0.027,0.843,0.13,0.9976
33,clean_article39,0.0,0.882,0.118,0.9253
34,clean_article4,0.0,0.816,0.184,0.717
35,clean_article40,0.0,0.983,0.017,0.3291
36,clean_article41,0.071,0.874,0.055,-0.5411
37,clean_article42,0.033,0.856,0.111,0.9998
38,clean_article43,0.017,0.923,0.059,0.8222
39,clean_article44,0.062,0.843,0.094,0.9831
40,clean_article45,0.046,0.846,0.108,0.872
41,clean_article46,0.0,0.0,0.0,0.0
42,clean_article47,0.025,0.833,0.142,0.9982
43,clean_article48,0.027,0.896,0.077,0.8625
44,clean_article49,0.0,0.817,0.183,0.9981
45,clean_article5,0.022,0.888,0.09,0.9418
46,clean_article50,0.08,0.82,0.1,0.992
47,clean_article51,0.125,0.824,0.051,-0.3786
48,clean_article52,0.072,0.898,0.03,-0.9442
49,clean_article53,0.0,0.968,0.032,0.1779
50,clean_article54,0.07,0.838,0.092,0.4845
51,clean_article55,0.035,0.88,0.085,0.9692
52,clean_article56,0.0,0.968,0.032,0.1779
53,clean_article57,0.016,0.822,0.162,0.9963
54,clean_article58,0.049,0.849,0.102,0.9806
55,clean_article59,0.02,0.882,0.097,0.9607
56,clean_article6,0.052,0.889,0.059,0.6115
57,clean_article60,0.019,0.832,0.148,0.9992
58,clean_article61,0.0,0.902,0.098,0.3612
59,clean_article62,0.0,0.816,0.184,0.717
60,clean_article63,0.012,0.903,0.086,0.9723
61,clean_article64,0.0,0.907,0.093,0.9883
62,clean_article65,0.054,0.844,0.102,0.998
63,clean_article66,0.052,0.846,0.102,0.9737
64,clean_article67,0.079,0.818,0.103,0.9747
65,clean_article68,0.103,0.812,0.085,-0.4228
66,clean_article69,0.089,0.853,0.059,-0.9703
67,clean_article7,0.016,0.861,0.123,0.9938
68,clean_article70,0.025,0.913,0.061,0.9519
69,clean_article71,0.027,0.921,0.051,0.9103
70,clean_article72,0.084,0.797,0.119,0.9762
71,clean_article73,0.032,0.894,0.074,0.8555
72,clean_article74,0.039,0.855,0.107,0.9037
73,clean_article75,0.0,0.641,0.359,0.8122
74,clean_article76,0.0,1.0,0.0,0.0
75,clean_article77,0.0,0.966,0.034,0.296
76,clean_article78,0.064,0.878,0.058,-0.897
77,clean_article79,0.082,0.853,0.065,-0.9287
78,clean_article8,0.041,0.878,0.081,0.9915
79,clean_article80,0.052,0.844,0.104,0.9741
80,clean_article81,0.033,0.827,0.14,0.9996
81,clean_article82,0.0,0.915,0.085,0.9923
82,clean_article83,0.08,0.847,0.073,-0.4831
83,clean_article84,0.158,0.784,0.058,-0.9942
84,clean_article85,0.031,0.823,0.146,0.9995
85,clean_article86,0.106,0.786,0.108,-0.7472
86,clean_article87,0.072,0.819,0.108,0.9873
87,clean_article88,0.048,0.858,0.093,0.9955
88,clean_article89,0.083,0.821,0.096,0.2227
89,clean_article9,0.052,0.805,0.142,0.9997
90,clean_article90,0.033,0.867,0.099,0.9352
