,name,neg,neu,pos,compound
0,clean_article0,0.0,0.816,0.184,0.717
1,clean_article1,0.025,0.855,0.12,0.9628
2,clean_article10,0.033,0.833,0.134,0.9917
3,clean_article11,0.023,0.872,0.105,0.9974
4,clean_article12,0.016,0.857,0.127,0.9962
5,clean_article13,0.079,0.812,0.109,0.9726
6,clean_article14,0.018,0.891,0.091,0.9818
7,clean_article15,0.008,0.866,0.127,0.996
8,clean_article16,0.03,0.867,0.103,0.9945
9,clean_article17,0.045,0.883,0.072,0.9492
10,clean_article18,0.071,0.794,0.135,0.9978
11,clean_article19,0.043,0.919,0.037,-0.4404
12,clean_article2,0.02,0.938,0.042,0.701
13,clean_article20,0.159,0.78,0.061,-0.9756
14,clean_article21,0.142,0.756,0.102,-0.9763
15,clean_article3,0.09,0.827,0.082,-0.1779
16,clean_article4,0.04,0.82,0.14,0.9979
17,clean_article5,0.0,0.816,0.184,0.717
18,clean_article6,0.044,0.909,0.046,0.2289
19,clean_article7,0.054,0.841,0.105,0.9864
20,clean_article8,0.04,0.837,0.123,0.9965
21,clean_article9,0.057,0.832,0.111,0.9977
