,name,neg,neu,pos,compound
0,clean_article0,0.044,0.863,0.093,0.9171
1,clean_article1,0.04,0.899,0.061,0.8915
2,clean_article10,0.037,0.85,0.113,0.9789
3,clean_article11,0.127,0.805,0.068,-0.991
4,clean_article12,0.061,0.855,0.084,0.6267
5,clean_article13,0.037,0.867,0.096,0.934
6,clean_article14,0.0,0.849,0.151,0.9907
7,clean_article15,0.055,0.802,0.142,0.996
8,clean_article16,0.005,0.875,0.119,0.9951
9,clean_article17,0.018,0.831,0.151,0.9985
10,clean_article18,0.03,0.902,0.068,0.9408
11,clean_article19,0.086,0.849,0.064,-0.9839
12,clean_article2,0.024,0.865,0.112,0.9931
13,clean_article20,0.089,0.82,0.091,-0.0662
14,clean_article21,0.013,0.934,0.052,0.959
15,clean_article22,0.021,0.876,0.103,0.9848
16,clean_article3,0.049,0.861,0.09,0.785
17,clean_article4,0.034,0.877,0.089,0.9415
18,clean_article5,0.084,0.775,0.142,0.9927
19,clean_article6,0.0,0.816,0.184,0.717
20,clean_article7,0.022,0.929,0.049,0.8649
21,clean_article8,0.027,0.823,0.15,0.9969
22,clean_article9,0.017,0.853,0.13,0.9985
